Study Phase ,Site ,Tran,Dist ,Rep or Extra,St Filter Wt (g) ,Date Placed,St Ziploc Wt (g) ,Date Removed ,Filter Area (cm2) ,Rubber Band Surface Area (cm2),Prop Filter Recovered (%)  ,Adjusted Filter Mass Recovered (g) ,Adjusted Filter Surface Area Recovered (cm2),Date(s) of Procedure,"Post-Dry Mass  (Filter/Zip/Sed Total, g) ","(1) Confirmatory Post-Dry Weight (Optional, g) ","(2) Confirmatory Post-Dry Weight (Optional, g) ","Sediment Mass               (Post-Dry Mass- Adjusted Filter Mass Recovered-Bag Mass, g)",Sediment Density (Sediment Mass/Adj Filter SA; g/cm2),Flux                        (# of Days Deployed) ,Flux-cm                (Sediment Density/Duration;  g/cm2 per day)  ,Flux-m                  (Sediment Density/Duration; g/m2 per day) ,Date(s) of Procedure ,Crucible Number # ,Empty Crucible Weight,Subsample Weight (Filter + Sediment on Filter) ,Post-Burn Weight ,Notes 
P1,B ,1,24,c,0.42342,7/3/2025,2.7082222,7/8/2025,63.61725116,5.31,,0,-5.31,7/30/2025,,3.00115,3.00162,,0.2929278,5,0.05858556,585.8556,,,,,,Averaged over 100 zip loc bags 
P1,B ,1,48,a ,0.43645,7/3/2025,2.7082222,7/8/2025,63.61725116,5.31,,0,-5.31,7/30/2025,3.0309,3.0259,3.0225,,0.3176778,5,0.06353556,635.3556,,,,,,Averaged over 100 zip loc bags 
P1,B ,1,48,b ,0.42205,7/3/2025,2.7082222,7/8/2025,63.61725116,5.31,,0,-5.31,7/30/2025,,3.0358,3.03432,,0.3275778,5,0.06551556,655.1556,,,,,,Averaged over 100 zip loc bags 
P1,B ,1,48,c,0.43395,7/3/2025,2.7082222,7/8/2025,63.61725116,5.31,,0,-5.31,7/30/2025,,3.02349,3.02308,,0.3152678,5,0.06305356,630.5356,,,,,,Averaged over 100 zip loc bags 
P1,B ,2,0.5,a ,0.42314,No M1 ,NA,NA,63.61725116,5.31,,0,-5.31,NA,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,
P1,B ,2,0.5,b ,0.43435,No M1 ,NA,NA,63.61725116,5.31,,0,-5.31,NA,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,
P1,B ,2,0.5,c,0.42417,No M1 ,NA,NA,63.61725116,5.31,,0,-5.31,NA,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,
P1,B ,2,2,a ,0.43548,No M1 ,NA,NA,63.61725116,5.31,,0,-5.31,NA,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,
P1,B ,2,2,b ,0.43514,No M1 ,NA,NA,63.61725116,5.31,,0,-5.31,NA,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,
P1,B ,2,2,c,0.43568,No M1 ,NA,NA,63.61725116,5.31,,0,-5.31,NA,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,
P1,B ,2,6,a ,0.42259,No M1 ,NA,NA,63.61725116,5.31,,0,-5.31,NA,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,
P1,B ,2,6,b ,0.43376,No M1 ,NA,NA,63.61725116,5.31,,0,-5.31,NA,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,
P1,B ,2,6,c,0.42445,No M1 ,NA,NA,63.61725116,5.31,,0,-5.31,NA,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,
P1,B ,2,12,a ,0.43321,No M1 ,NA,NA,63.61725116,5.31,,0,-5.31,NA,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,
P1,B ,2,12,b ,0.43595,No M1 ,NA,NA,63.61725116,5.31,,0,-5.31,NA,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,
P1,B ,2,12,c,0.42329,No M1 ,NA,NA,63.61725116,5.31,,0,-5.31,NA,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,
P1,B ,2,24,a ,0.43371,No M1 ,NA,NA,63.61725116,5.31,,0,-5.31,NA,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,
P1,B ,2,24,b ,0.42358,No M1 ,NA,NA,63.61725116,5.31,,0,-5.31,NA,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,
P1,B ,2,24,c,0.4364,No M1 ,NA,NA,63.61725116,5.31,,0,-5.31,NA,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,
P1,B ,2,48,a ,0.43656,No M1 ,NA,NA,63.61725116,5.31,,0,-5.31,NA,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,
P1,B ,2,48,b ,0.42331,No M1 ,NA,NA,63.61725116,5.31,,0,-5.31,NA,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,
P1,B ,2,48,c,0.4336,No M1 ,NA,NA,63.61725116,5.31,,0,-5.31,NA,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,
P1,B ,1,18a,E1 ,0.42207,7/3/2025,,7/8/2025,63.61725116,5.31,,0,-5.31,NA,2.95631,2.95042,2.94406,,2.95042,5,0.590084,5900.84,,,,,,Quality of initial filter not good
P1,B ,1,18b,E2 ,0.43449,7/3/2025,,7/8/2025,63.61725116,5.31,,0,-5.31,NA,,2.98145,2.966931,,2.98145,5,0.59629,5962.9,,,,,,Quality of initial filter not good
P1,B ,1,18c ,E3,0.43475,7/3/2025,,7/8/2025,63.61725116,5.31,,0,-5.31,NA,,,2.9233,,0,5,0,0,,,,,,"Quality of initial filter not good; drying-notes beside it say ""Only w/dehydrator"" "
P1,B ,,,E4 ,0.4228,NA,NA,NA,63.61725116,5.31,,0,-5.31,NA,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,
M1,B ,1,0.5,a ,0.44001,7/8/2025,6.33622,8/5/2025,63.61725116,5.31,1,0.44001,58.30725116,8/5/2025-8/6/2025 (24 hours); 2:30 pm,7.09366,,,0.31743,0.005444091,28,0.000194432,1.944318329,,,,,,Plastic bags originally for P1 and measured for P1 
M1,B ,1,0.5,b ,0.42712,7/8/2025,6.36425,8/5/2025,63.61725116,5.31,1,0.42712,58.30725116,8/5/2025-8/6/2025 (24 hours); 2:30 pm,6.93127,,,0.1399,0.002399359,28,8.56914E-05,0.856913758,,,,,,Plastic bags originally for P1 and measured for P1 
M1,B ,1,0.5,c,0.4255,7/8/2025,6.34779,8/5/2025,63.61725116,5.31,1,0.4255,58.30725116,8/5/2025-8/6/2025 (24 hours); 2:30 pm,6.79074,,,0.01745,0.000299277,28,1.06885E-05,0.106884525,,,,,,Plastic bags originally for P1 and measured for P1 
M1,B ,1,2,a ,0.44051,7/8/2025,6.30105,8/5/2025,63.61725116,5.31,1,0.44051,58.30725116,8/5/2025-8/6/2025 (24 hours); 2:30 pm,7.09089,,,0.34933,0.005991193,28,0.000213971,2.139711816,,,,,,Plastic bags originally for P1 and measured for P1 
M1,B ,1,2,b ,0.4424,7/8/2025,6.41347,8/5/2025,63.61725116,5.31,1,0.4424,58.30725116,8/5/2025-8/6/2025 (24 hours); 2:30 pm,7.12672,,,0.27085,0.00464522,28,0.000165901,1.659007086,,,,,,Plastic bags originally for P1 and measured for P1 
M1,B ,1,2,c,0.42581,7/8/2025,6.34239,8/5/2025,63.61725116,5.31,1,0.42581,58.30725116,8/5/2025-8/6/2025 (24 hours); 2:30 pm,7.29905,,,0.53085,0.009104356,28,0.000325156,3.251555886,,,,,,Plastic bags originally for P1 and measured for P1 
M1,B ,1,6,a ,0.44106,7/8/2025,6.38597,8/5/2025,63.61725116,5.31,1,0.44106,58.30725116,8/5/2025-8/6/2025 (24 hours); 2:30 pm,7.75858,,,0.93155,0.015976572,28,0.000570592,5.705918594,,,,,,Plastic bags originally for P1 and measured for P1 
M1,B ,1,6,b ,0.43987,7/8/2025,6.35878,8/5/2025,63.61725116,5.31,1,0.43987,58.30725116,8/5/2025-8/6/2025 (24 hours); 2:30 pm,7.31746,,,0.51881,0.008897864,28,0.000317781,3.177808626,,,,,,Plastic bags originally for P1 and measured for P1 
M1,B ,1,6,c,0.42693,7/8/2025,6.34941,8/5/2025,63.61725116,5.31,1,0.42693,58.30725116,8/5/2025-8/6/2025 (24 hours); 2:30 pm,7.8081,,,1.03176,0.017695226,28,0.000631972,6.319723653,,,,,,Plastic bags originally for P1 and measured for P1 
M1,B ,1,12,a ,0.44022,7/8/2025,6.33933,8/5/2025,63.61725116,5.31,1,0.44022,58.30725116,8/5/2025-8/6/2025 (24 hours); 2:30 pm,7.07426,,,0.29471,0.005054431,28,0.000180515,1.805154065,,,,,,Plastic bags originally for P1 and measured for P1 
M1,B ,1,12,b ,0.42604,7/8/2025,6.3744,8/5/2025,63.61725116,5.31,1,0.42604,58.30725116,8/5/2025-8/6/2025 (24 hours); 2:30 pm,7.2392,,,0.43876,0.007524965,28,0.000268749,2.687487352,,,,,,Plastic bags originally for P1 and measured for P1 
M1,B ,1,12,c,0.4434,7/8/2025,6.32331,8/5/2025,63.61725116,5.31,1,0.4434,58.30725116,8/5/2025-8/6/2025 (24 hours); 2:30 pm,7.15284,,,0.38613,0.006622332,28,0.000236512,2.365118723,,,,,,Plastic bags originally for P1 and measured for P1 
M1,B ,1,24,a ,0.42606,7/8/2025,6.39057,8/5/2025,63.61725116,5.31,1,0.42606,58.30725116,8/5/2025-8/6/2025 (24 hours); 2:30 pm,7.49463,,,0.678,0.011628056,28,0.000415288,4.152877255,,,,,,Plastic bags originally for P1 and measured for P1 
M1,B ,1,24,b ,0.44155,7/8/2025,6.3825,8/5/2025,63.61725116,5.31,1,0.44155,58.30725116,8/5/2025-8/6/2025 (24 hours); 2:30 pm,7.42101,,,0.59696,0.010238178,28,0.000365649,3.656492044,,,,,,Plastic bags originally for P1 and measured for P1 
M1,B ,1,24,c,0.4404,7/8/2025,6.3805,8/5/2025,63.61725116,5.31,1,0.4404,58.30725116,8/5/2025-8/6/2025 (24 hours); 2:30 pm,7.36269,,,0.54179,0.009291983,28,0.000331857,3.318565439,,,,,,Plastic bags originally for P1 and measured for P1 
M1,B ,1,48,a ,0.42638,7/8/2025,6.34227,8/5/2025,63.61725116,5.31,1,0.42638,58.30725116,8/5/2025-8/6/2025 (24 hours); 2:30 pm,7.61399,,,0.84534,0.014498025,28,0.000517787,5.177866163,,,,,,Plastic bags originally for P1 and measured for P1 
M1,B ,1,48,b ,0.44007,7/8/2025,6.30353,8/5/2025,63.61725116,5.31,1,0.44007,58.30725116,8/5/2025-8/6/2025 (24 hours); 2:30 pm,7.59071,,,0.84711,0.014528382,28,0.000518871,5.188707745,,,,,,Plastic bags originally for P1 and measured for P1 
M1,B ,1,48,c,0.42473,7/8/2025,6.31787,8/5/2025,63.61725116,5.31,1,0.42473,58.30725116,8/5/2025-8/6/2025 (24 hours); 2:30 pm,8.07013,,,1.32753,0.022767837,28,0.000813137,8.131370416,,,,,,Plastic bags originally for P1 and measured for P1 
M1,B ,2,0.5,a ,0.42314,7/8/2025,6.96177,8/5/2025,63.61725116,5.31,,0,-5.31,8/6/2025-8/7/2025 (24 hours),8.58295,,,1.62118,-6.96177,28,-0.248634643,-2486.346429,,,,,,Filters originally weighed for P1 
M1,B ,2,0.5,b ,0.43435,7/8/2025,6.92768,8/5/2025,63.61725116,5.31,,0,-5.31,8/6/2025-8/7/2025 (24 hours),8.58295,,,1.65527,-6.92768,28,-0.247417143,-2474.171429,,,,,,Filters originally weighed for P1 
M1,B ,2,0.5,c,0.42417,7/8/2025,6.98699,8/5/2025,63.61725116,5.31,,0,-5.31,8/6/2025-8/7/2025 (24 hours),8.02378,,,1.03679,-6.98699,28,-0.249535357,-2495.353571,,,,,,Filters originally weighed for P1 
M1,B ,2,2,a ,0.43548,7/8/2025,7.01318,8/5/2025,63.61725116,5.31,,0,-5.31,8/6/2025-8/7/2025 (24 hours),8.24031,,,1.22713,-7.01318,28,-0.250470714,-2504.707143,,,,,,Filters originally weighed for P1 
M1,B ,2,2,b ,0.43514,7/8/2025,7.05628,8/5/2025,63.61725116,5.31,,0,-5.31,8/6/2025-8/7/2025 (24 hours),9.06361,,,2.00733,-7.05628,28,-0.25201,-2520.1,,,,,,Filters originally weighed for P1 
M1,B ,2,2,c,0.43568,7/8/2025,7.01187,8/5/2025,63.61725116,5.31,,0,-5.31,8/6/2025-8/7/2025 (24 hours),8.68815,,,1.67628,-7.01187,28,-0.250423929,-2504.239286,,,,,,Filters originally weighed for P1 
M1,B ,2,6,a ,0.42259,7/8/2025,6.94696,8/5/2025,63.61725116,5.31,,0,-5.31,8/6/2025-8/7/2025 (24 hours),8.89847,,,1.95151,-6.94696,28,-0.248105714,-2481.057143,,,,,,Filters originally weighed for P1 
M1,B ,2,6,b ,0.43376,7/8/2025,7.06978,8/5/2025,63.61725116,5.31,,0,-5.31,8/6/2025-8/7/2025 (24 hours),9.45893,,,2.38915,-7.06978,28,-0.252492143,-2524.921429,,,,,,Filters originally weighed for P1 
M1,B ,2,6,c,0.42445,7/8/2025,7.02391,8/5/2025,63.61725116,5.31,,0,-5.31,8/6/2025-8/7/2025 (24 hours),9.42816,,,2.40425,-7.02391,28,-0.250853929,-2508.539286,,,,,,Filters originally weighed for P1 
M1,B ,2,12,a ,0.43321,7/8/2025,6.94625,8/5/2025,63.61725116,5.31,,0,-5.31,8/6/2025-8/7/2025 (24 hours),8.67181,,,1.72556,-6.94625,28,-0.248080357,-2480.803571,,,,,,Filters originally weighed for P1 
M1,B ,2,12,b ,0.43595,7/8/2025,6.99248,8/5/2025,63.61725116,5.31,,0,-5.31,8/6/2025-8/7/2025 (24 hours),9.61019,,,2.61771,-6.99248,28,-0.249731429,-2497.314286,,,,,,Filters originally weighed for P1 
M1,B ,2,12,c,0.42329,7/8/2025,7.06818,8/5/2025,63.61725116,5.31,,0,-5.31,8/6/2025-8/7/2025 (24 hours),8.57641,,,1.50823,-7.06818,28,-0.252435,-2524.35,,,,,,Filters originally weighed for P1 
M1,B ,2,24,a ,0.43371,7/8/2025,6.93755,8/5/2025,63.61725116,5.31,,0,-5.31,8/6/2025-8/7/2025 (24 hours),8.29529,,,1.35774,-6.93755,28,-0.247769643,-2477.696429,,,,,,Filters originally weighed for P1 
M1,B ,2,24,b ,0.42358,7/8/2025,7.01829,8/5/2025,63.61725116,5.31,,0,-5.31,8/6/2025-8/7/2025 (24 hours),8.40446,,,1.38617,-7.01829,28,-0.250653214,-2506.532143,,,,,,Filters originally weighed for P1 
M1,B ,2,24,c,0.4364,7/8/2025,6.9791,8/5/2025,63.61725116,5.31,,0,-5.31,8/6/2025-8/7/2025 (24 hours),8.34494,,,1.36584,-6.9791,28,-0.249253571,-2492.535714,,,,,,Filters originally weighed for P1 
M1,B ,2,48,a ,0.43656,7/8/2025,6.96286,8/5/2025,63.61725116,5.31,,0,-5.31,8/6/2025-8/7/2025 (24 hours),9.31357,,,2.35071,-6.96286,28,-0.248673571,-2486.735714,,,,,,Filters originally weighed for P1 
M1,B ,2,48,b ,0.42331,7/8/2025,7.00954,8/5/2025,63.61725116,5.31,,0,-5.31,8/6/2025-8/7/2025 (24 hours),8.67718,,,1.66764,-7.00954,28,-0.250340714,-2503.407143,,,,,,Filters originally weighed for P1 
M1,B ,2,48,c,0.4336,7/8/2025,6.97519,8/5/2025,63.61725116,5.31,,0,-5.31,8/6/2025-8/7/2025 (24 hours),8.91843,,,1.94324,-6.97519,28,-0.249113929,-2491.139286,,,,,,Filters originally weighed for P1 
M1,B ,,,E1 (B1-18a),0.42207,7/8/2025,6.31387,8/5/2025,63.61725116,5.31,,0,-5.31,,7.21298,,,0.89911,-6.31387,28,-0.225495357,-2254.953571,,,,,,Filters originally weighed for P1 ; Plastic bags originally for P1 and measured for P1 
M1,B ,,,E2  (B1-18b),0.43449,7/8/2025,6.5303,8/5/2025,63.61725116,5.31,,0,-5.31,,7.44938,,,0.91908,-6.5303,28,-0.233225,-2332.25,,,,,,Plastic bags originally for P1 and measured for P1 
M1,B ,,,E3 (B1-18c),0.43475,7/8/2025,6.32837,8/5/2025,63.61725116,5.31,,0,-5.31,,7.28373,,,0.95536,-6.32837,28,-0.226013214,-2260.132143,,,,,,Plastic bags originally for P1 and measured for P1 
M1,B ,,,E4 ,0.4228,NA,NA,NA,63.61725116,5.31,,0,-5.31,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,
M1,G,1,0.5,a ,0.42669,7/9/2025,6.58053,8/6/2025,63.61725116,5.31,,0,-5.31,,6.62975,,,0.04922,-6.58053,28,-0.235018929,-2350.189286,,,,,,
M1,G,1,0.5,b ,0.43941,7/9/2025,6.60607,8/6/2025,63.61725116,5.31,,0,-5.31,,10.90851,,,4.30244,-6.60607,28,-0.235931071,-2359.310714,,,,,,
M1,G,1,0.5,c,0.43635,7/9/2025,6.58266,8/6/2025,63.61725116,5.31,,0,-5.31,,15.80663,,,9.22397,-6.58266,28,-0.235095,-2350.95,,,,,,
M1,G,1,2,a ,0.42356,7/9/2025,6.59462,8/6/2025,63.61725116,5.31,,0,-5.31,,7.50622,,,0.9116,-6.59462,28,-0.235522143,-2355.221429,,,,,,
M1,G,1,2,b ,0.43584,7/9/2025,6.65154,8/6/2025,63.61725116,5.31,,0,-5.31,,8.43016,,,1.77862,-6.65154,28,-0.237555,-2375.55,,,,,,
M1,G,1,2,c,0.42372,7/9/2025,6.60981,8/6/2025,63.61725116,5.31,,0,-5.31,,10.19847,,,3.58866,-6.60981,28,-0.236064643,-2360.646429,,,,,,
M1,G,1,6,a ,0.43828,7/9/2025,6.67233,8/6/2025,63.61725116,5.31,,0,-5.31,,10.01104,,,3.33871,-6.67233,28,-0.2382975,-2382.975,,,,,,
M1,G,1,6,b ,0.42449,7/9/2025,6.64696,8/6/2025,63.61725116,5.31,,0,-5.31,,8.9651,,,2.31814,-6.64696,28,-0.237391429,-2373.914286,,,,,,
M1,G,1,6,c,0.43803,7/9/2025,6.64503,8/6/2025,63.61725116,5.31,,0,-5.31,,9.26942,,,2.62439,-6.64503,28,-0.2373225,-2373.225,,,,,,
M1,G,1,12,a ,0.42455,7/9/2025,6.69969,8/6/2025,63.61725116,5.31,,0,-5.31,,8.68407,,,1.98438,-6.69969,28,-0.239274643,-2392.746429,,,,,,
M1,G,1,12,b ,0.4363,7/9/2025,6.62182,8/6/2025,63.61725116,5.31,,0,-5.31,,8.58856,,,1.96674,-6.62182,28,-0.236493571,-2364.935714,,,,,,
M1,G,1,12,c,0.42479,7/9/2025,6.68327,8/6/2025,63.61725116,5.31,,0,-5.31,,8.7545,,,2.07123,-6.68327,28,-0.238688214,-2386.882143,,,,,,
M1,G,1,24,a ,0.438,7/9/2025,6.68204,8/6/2025,63.61725116,5.31,,0,-5.31,,8.27366,,,1.59162,-6.68204,28,-0.238644286,-2386.442857,,,,,,
M1,G,1,24,b ,0.43867,7/9/2025,6.66069,8/6/2025,63.61725116,5.31,,0,-5.31,,8.06063,,,1.39994,-6.66069,28,-0.237881786,-2378.817857,,,,,,
M1,G,1,24,c,0.42518,7/9/2025,6.58249,8/6/2025,63.61725116,5.31,,0,-5.31,,8.32552,,,1.74303,-6.58249,#VALUE!,#VALUE!,#VALUE!,,,,,,some gold mold on it 
M1,G,1,48,a ,0.43807,7/9/2025,6.62673,8/6/2025,63.61725116,5.31,,0,-5.31,,7.41119,,,0.78446,-6.62673,28,-0.236668929,-2366.689286,,,,,,
M1,G,1,48,b ,0.42597,7/9/2025,6.62903,8/6/2025,63.61725116,5.31,,0,-5.31,,7.45183,,,0.8228,-6.62903,28,-0.236751071,-2367.510714,,,,,,
M1,G,1,48,c,0.43694,7/9/2025,6.66164,8/6/2025,63.61725116,5.31,,0,-5.31,,7.48447,,,0.82283,-6.66164,28,-0.237915714,-2379.157143,,,,,,
M1,G,2,0.5,a ,0.42444,7/9/2025,6.61412,8/6/2025,63.61725116,5.31,,0,-5.31,,6.60996,,,-0.00416,-6.61412,28,-0.236218571,-2362.185714,,,,,,
M1,G,2,0.5,b ,0.43743,7/9/2025,6.59618,8/6/2025,63.61725116,5.31,,0,-5.31,,6.60447,,,0.00829,-6.59618,28,-0.235577857,-2355.778571,,,,,,
M1,G,2,0.5,c,0.43774,7/9/2025,6.58164,8/6/2025,63.61725116,5.31,,0,-5.31,,6.58134,,,-0.0003,-6.58164,28,-0.235058571,-2350.585714,,,,,,
M1,G,2,2,a ,0.42283,7/9/2025,6.6538,8/6/2025,63.61725116,5.31,,0,-5.31,,20.63699,,,13.98319,-6.6538,28,-0.237635714,-2376.357143,,,,,,
M1,G,2,2,b ,0.43595,7/9/2025,6.58192,8/6/2025,63.61725116,5.31,,0,-5.31,,64.7865,,,58.20458,-6.58192,28,-0.235068571,-2350.685714,,,,,,
M1,G,2,2,c,0.42492,7/9/2025,6.649,8/6/2025,63.61725116,5.31,,0,-5.31,,11.85129,,,5.20229,-6.649,28,-0.237464286,-2374.642857,,,,,,
M1,G,2,6,a ,0.42946,7/9/2025,6.59414,8/6/2025,63.61725116,5.31,,0,-5.31,,8.61379,,,2.01965,-6.59414,28,-0.235505,-2355.05,,,,,,
M1,G,2,6,b ,0.43231,7/9/2025,6.63723,8/6/2025,63.61725116,5.31,,0,-5.31,,8.66661,,,2.02938,-6.63723,28,-0.237043929,-2370.439286,,,,,,
M1,G,2,6,c,0.4328,7/9/2025,6.69157,8/6/2025,63.61725116,5.31,,0,-5.31,,8.71469,,,2.02312,-6.69157,28,-0.238984643,-2389.846429,,,,,,
M1,G,2,12,a ,0.43375,7/9/2025,6.55739,8/6/2025,63.61725116,5.31,,0,-5.31,,8.24541,,,1.68802,-6.55739,28,-0.2341925,-2341.925,,,,,,
M1,G,2,12,b ,0.43256,7/9/2025,6.64941,8/6/2025,63.61725116,5.31,,0,-5.31,,8.27814,,,1.62873,-6.64941,28,-0.237478929,-2374.789286,,,,,,
M1,G,2,12,c,0.43267,7/9/2025,6.63736,8/6/2025,63.61725116,5.31,,0,-5.31,,8.37073,,,1.73337,-6.63736,28,-0.237048571,-2370.485714,,,,,,
M1,G,2,24,a ,0.42796,7/9/2025,6.58768,8/6/2025,63.61725116,5.31,,0,-5.31,,7.54795,,,0.96027,-6.58768,28,-0.235274286,-2352.742857,,,,,,
M1,G,2,24,b ,0.42898,7/9/2025,6.53838,8/6/2025,63.61725116,5.31,,0,-5.31,,7.50952,,,0.97114,-6.53838,28,-0.233513571,-2335.135714,,,,,,
M1,G,2,24,c,0.43245,7/9/2025,6.61165,8/6/2025,63.61725116,5.31,,0,-5.31,,7.61164,,,0.99999,-6.61165,28,-0.236130357,-2361.303571,,,,,,
M1,G,2,48,a ,0.42977,7/9/2025,6.62462,8/6/2025,63.61725116,5.31,,0,-5.31,,7.61727,,,0.99265,-6.62462,28,-0.236593571,-2365.935714,,,,,,
M1,G,2,48,b ,0.43139,7/9/2025,6.64268,8/6/2025,63.61725116,5.31,,0,-5.31,,7.69618,,,1.0535,-6.64268,#VALUE!,#VALUE!,#VALUE!,,,,,,orange mold on filter?
M1,G,2,48,c,0.42964,7/9/2025,6.58367,8/6/2025,63.61725116,5.31,,0,-5.31,,7.43229,,,0.84862,-6.58367,28,-0.235131071,-2351.310714,,,,,,
M1,G,,,E1 ,0.4321,NA,6.4449,NA,63.61725116,5.31,,0,-5.31,,NA,,,#VALUE!,-6.4449,#VALUE!,#VALUE!,#VALUE!,,,,,,
