Site,Transect,Distance,Date placed in field,Date removed from field,Month ,Season ,Year ,FluxAvgRep
San Pablo,D,0.5,7/28/2022,8/25/2022,AUGUST ,Summer,2022,49.82738101
San Pablo,D,2,7/28/2022,8/25/2022,AUGUST ,Summer,2022,4.357254351
San Pablo,D,6,7/28/2022,8/25/2022,AUGUST ,Summer,2022,1.323040542
San Pablo,D,12,7/28/2022,8/25/2022,AUGUST ,Summer,2022,57.36544531
San Pablo,D,24,7/28/2022,8/25/2022,AUGUST ,Summer,2022,83.32480746
San Pablo,D,48,7/28/2022,8/25/2022,AUGUST ,Summer,2022,3.164680307
San Pablo,D,72,7/28/2022,8/25/2022,AUGUST ,Summer,2022,5.143728451
San Pablo,D,150,7/28/2022,8/25/2022,AUGUST ,Summer,2022,5.251735927
San Pablo,A,0.5,1/17/2023,2/15/2023,FEBRUARY ,Winter,2023,225.1388914
San Pablo,A,2,1/17/2023,2/15/2023,FEBRUARY ,Winter ,2023,262.1270552
San Pablo,A,6,1/17/2023,2/15/2023,FEBRUARY ,Winter ,2023,58.25481552
San Pablo,A,9,1/17/2023,2/15/2023,FEBRUARY ,Winter ,2023,1.742256836
San Pablo,A,12,1/17/2023,2/15/2023,FEBRUARY ,Winter ,2023,1.763941408
San Pablo,A,18,1/17/2023,2/15/2023,FEBRUARY ,Winter ,2023,0.251738174
San Pablo,A,24,1/17/2023,2/15/2023,FEBRUARY ,Winter ,2023,0.821845299
San Pablo,A,48,1/17/2023,2/15/2023,FEBRUARY ,Winter ,2023,1.853045288
San Pablo,A,72,1/17/2023,2/15/2023,FEBRUARY ,Winter ,2023,0.35247287
San Pablo,A,150,1/17/2023,2/15/2023,FEBRUARY ,Winter ,2023,3.087826803
San Pablo,B,0.5,1/17/2023,2/15/2023,FEBRUARY ,Winter ,2023,90.993986
San Pablo,B,2,1/17/2023,2/15/2023,FEBRUARY ,Winter ,2023,28.33168252
San Pablo,B,6,1/17/2023,2/15/2023,FEBRUARY ,Winter ,2023,11.63121043
San Pablo,B,9,1/17/2023,2/15/2023,FEBRUARY ,Winter ,2023,1.556952307
San Pablo,B,12,1/17/2023,2/15/2023,FEBRUARY ,Winter ,2023,1.438278555
San Pablo,B,18,1/17/2023,2/15/2023,FEBRUARY ,Winter ,2023,1.305608398
San Pablo,B,24,1/17/2023,2/15/2023,FEBRUARY ,Winter ,2023,1.506880657
San Pablo,B,48,1/17/2023,2/15/2023,FEBRUARY ,Winter ,2023,3.345273772
San Pablo,B,72,1/17/2023,2/15/2023,FEBRUARY ,Winter ,2023,1.292878419
San Pablo,B,150,1/17/2023,2/15/2023,FEBRUARY ,Winter,2023,0.247795524
San Pablo,C,0.5,1/17/2023,2/15/2023,FEBRUARY ,Winter ,2023,81.20123304
San Pablo,C,2,1/17/2023,2/15/2023,FEBRUARY ,Winter ,2023,43.28970065
San Pablo,C,6,1/17/2023,2/15/2023,FEBRUARY ,Winter ,2023,2.037561287
San Pablo,C,12,1/17/2023,2/15/2023,FEBRUARY ,Winter ,2023,1.375984692
San Pablo,C,24,1/17/2023,2/15/2023,FEBRUARY ,Winter ,2023,2.716195028
San Pablo,C,48,1/17/2023,2/15/2023,FEBRUARY ,Winter ,2023,11.8920167
San Pablo,C,72,1/17/2023,2/15/2023,FEBRUARY ,Winter ,2023,0.960035165
San Pablo,C,150,1/17/2023,2/15/2023,FEBRUARY ,Winter ,2023,1.573314302
San Pablo,D,0.5,1/17/2023,2/15/2023,FEBRUARY ,Winter ,2023,142.3219605
San Pablo,D,2,1/17/2023,2/15/2023,FEBRUARY ,Winter ,2023,100.8295167
San Pablo,D,6,1/17/2023,2/15/2023,FEBRUARY ,Winter ,2023,27.99774011
San Pablo,D,12,1/17/2023,2/15/2023,FEBRUARY ,Winter ,2023,7.757537538
San Pablo,D,24,1/17/2023,2/15/2023,FEBRUARY ,Winter ,2023,3.516936883
San Pablo,D,48,1/17/2023,2/15/2023,FEBRUARY ,Winter ,2023,25.70937055
San Pablo,D,72,1/17/2023,2/15/2023,FEBRUARY ,Winter ,2023,1.02331469
San Pablo,D,150,1/17/2023,2/15/2023,FEBRUARY ,Winter ,2023,0.916074623
Corte Madera,A,0.5,1/18/2023,2/17/2023,FEBRUARY ,Winter ,2023,0
Corte Madera,A,2,1/18/2023,2/17/2023,FEBRUARY ,Winter ,2023,1.086906804
Corte Madera,A,6,1/18/2023,2/17/2023,FEBRUARY ,Winter ,2023,1.853630646
Corte Madera,A,12,1/18/2023,2/17/2023,FEBRUARY ,Winter ,2023,1.621688584
Corte Madera,A,18,1/18/2023,2/17/2023,FEBRUARY ,Winter ,2023,1.89155708
Corte Madera,A,24,1/18/2023,2/17/2023,FEBRUARY ,Winter ,2023,1.470173432
Corte Madera,A,30,1/18/2023,2/17/2023,FEBRUARY ,Winter ,2023,1.520869068
Corte Madera,A,48,1/18/2023,2/17/2023,FEBRUARY ,Winter ,2023,1.347246045
Corte Madera,B,0.5,1/18/2023,2/17/2023,FEBRUARY ,Winter ,2023,0
Corte Madera,B,2,1/18/2023,2/17/2023,FEBRUARY ,Winter ,2023,1.515469157
Corte Madera,B,6,1/18/2023,2/17/2023,FEBRUARY ,Winter ,2023,1.415666095
Corte Madera,B,12,1/18/2023,2/17/2023,FEBRUARY ,Winter ,2023,1.705736611
Corte Madera,B,18,1/18/2023,2/17/2023,FEBRUARY ,Winter ,2023,2.120640366
Corte Madera,B,24,1/18/2023,2/17/2023,FEBRUARY ,Winter ,2023,5.199352011
Corte Madera,B,30,1/18/2023,2/17/2023,FEBRUARY ,Winter ,2023,1.626072041
Corte Madera,B,48,1/18/2023,2/17/2023,FEBRUARY ,Winter ,2023,1.004764627
Corte Madera,C,0.5,1/18/2023,2/17/2023,FEBRUARY ,Winter ,2023,0.710120069
Corte Madera,C,2,1/18/2023,2/17/2023,FEBRUARY ,Winter ,2023,2.031827711
Corte Madera,C,6,1/18/2023,2/17/2023,FEBRUARY ,Winter ,2023,2.011816276
Corte Madera,C,12,1/18/2023,2/17/2023,FEBRUARY ,Winter ,2023,1.437773966
Corte Madera,C,24,1/18/2023,2/17/2023,FEBRUARY ,Winter ,2023,1.012769201
Corte Madera,C,48,1/18/2023,2/17/2023,FEBRUARY ,Winter ,2023,1.060034305
Corte Madera,D,0.5,1/18/2023,2/17/2023,FEBRUARY ,Winter ,2023,1.087287974
Corte Madera,D,2,1/18/2023,2/17/2023,FEBRUARY ,Winter ,2023,1.018867924
Corte Madera,D,6,1/18/2023,2/17/2023,FEBRUARY ,Winter ,2023,1.151133981
Corte Madera,D,12,1/18/2023,2/17/2023,FEBRUARY ,Winter ,2023,1.030874785
Corte Madera,D,24,1/18/2023,2/17/2023,FEBRUARY ,Winter ,2023,0.922431866
Corte Madera,D,48,1/18/2023,2/17/2023,FEBRUARY ,Winter ,2023,0.844291977
Corte Madera,A,0.5,6/20/2023,7/18/2023,JULY,Summer ,2023,0
Corte Madera,A,2,6/20/2023,7/18/2023,JULY,Summer ,2023,0
Corte Madera,A,6,6/20/2023,7/18/2023,JULY,Summer ,2023,2.882667647
Corte Madera,A,12,6/20/2023,7/18/2023,JULY,Summer ,2023,7.81181083
Corte Madera,A,18,6/20/2023,7/18/2023,JULY,Summer ,2023,9.698603284
Corte Madera,A,24,6/20/2023,7/18/2023,JULY,Summer ,2023,14.71555174
Corte Madera,A,30,6/20/2023,7/18/2023,JULY,Summer ,2023,0
Corte Madera,A,48,6/20/2023,7/18/2023,JULY,Summer ,2023,9.513191213
Corte Madera,B,0.5,6/20/2023,7/18/2023,JULY,Summer ,2023,0
Corte Madera,B,2,6/20/2023,7/18/2023,JULY,Summer ,2023,0
Corte Madera,B,6,6/20/2023,7/18/2023,JULY,Summer ,2023,6.416523728
Corte Madera,B,12,6/20/2023,7/18/2023,JULY,Summer ,2023,5.494159928
Corte Madera,B,18,6/20/2023,7/18/2023,JULY,Summer ,2023,13.03071143
Corte Madera,B,24,6/20/2023,7/18/2023,JULY,Summer ,2023,15.80535817
Corte Madera,B,30,6/20/2023,7/18/2023,JULY,Summer ,2023,6.615412889
Corte Madera,B,48,6/20/2023,7/18/2023,JULY,Summer ,2023,6.742832639
Corte Madera,C,0.5,6/20/2023,7/18/2023,JULY,Summer ,2023,4.643469738
Corte Madera,C,2,6/20/2023,7/18/2023,JULY,Summer ,2023,8.049293473
Corte Madera,C,6,6/20/2023,7/18/2023,JULY,Summer ,2023,32.24638569
Corte Madera,C,12,6/20/2023,7/18/2023,JULY,Summer ,2023,30.83864249
Corte Madera,C,24,6/20/2023,7/18/2023,JULY,Summer ,2023,7.045658744
Corte Madera,C,48,6/20/2023,7/18/2023,JULY,Summer ,2023,10.46965613
Corte Madera,D,0.5,6/20/2023,7/18/2023,JULY,Summer ,2023,24.77742384
Corte Madera,D,2,6/20/2023,7/18/2023,JULY,Summer ,2023,7.122437311
Corte Madera,D,6,6/20/2023,7/18/2023,JULY,Summer ,2023,12.24393531
Corte Madera,D,12,6/20/2023,7/18/2023,JULY,Summer ,2023,9.650208282
Corte Madera,D,24,6/20/2023,7/18/2023,JULY,Summer ,2023,8.724373111
Corte Madera,D,48,6/20/2023,7/18/2023,JULY,Summer ,2023,4.402719922
San Pablo,A,0.5,6/21/2023,7/19/2023,JULY,Summer ,2023,10.19802916
San Pablo,A,2,6/21/2023,7/19/2023,JULY,Summer ,2023,10.14167744
San Pablo,A,6,6/21/2023,7/19/2023,JULY,Summer ,2023,38.81837701
San Pablo,A,9,6/21/2023,7/19/2023,JULY,Summer ,2023,4.516713404
San Pablo,A,12,6/21/2023,7/19/2023,JULY,Summer ,2023,0.912857139
San Pablo,A,18,6/21/2023,7/19/2023,JULY,Summer ,2023,0
San Pablo,A,24,6/21/2023,7/19/2023,JULY,Summer ,2023,12.76652453
San Pablo,A,48,6/21/2023,7/19/2023,JULY,Summer ,2023,27.7142284
San Pablo,A,72,6/21/2023,7/19/2023,JULY,Summer ,2023,19.51239791
San Pablo,A,150,6/21/2023,7/19/2023,JULY,Summer ,2023,1.774058529
San Pablo,B,0.5,6/21/2023,7/19/2023,JULY,Summer ,2023,4.578986145
San Pablo,B,2,6/21/2023,7/19/2023,JULY,Summer ,2023,18.20364947
San Pablo,B,6,6/21/2023,7/19/2023,JULY,Summer ,2023,1.252600883
San Pablo,B,9,6/21/2023,7/19/2023,JULY,Summer ,2023,1.360812532
San Pablo,B,12,6/21/2023,7/19/2023,JULY,Summer ,2023,0.517170014
San Pablo,B,18,6/21/2023,7/19/2023,JULY,Summer ,2023,0
San Pablo,B,24,6/21/2023,7/19/2023,JULY,Summer ,2023,0
San Pablo,B,48,6/21/2023,7/19/2023,JULY,Summer ,2023,5.68642008
San Pablo,B,72,6/21/2023,7/19/2023,JULY,Summer ,2023,24.64550937
San Pablo,B,150,6/21/2023,7/19/2023,JULY,Summer ,2023,5.566366401
San Pablo,C,0.5,6/21/2023,7/20/2023,JULY,Summer ,2023,29.72876039
San Pablo,C,2,6/21/2023,7/20/2023,JULY,Summer ,2023,10.10501079
San Pablo,C,6,6/21/2023,7/20/2023,JULY,Summer ,2023,0.956092516
San Pablo,C,12,6/21/2023,7/20/2023,JULY,Summer ,2023,2.344496554
San Pablo,C,24,6/21/2023,7/20/2023,JULY,Summer ,2023,152.5686947
San Pablo,C,48,6/21/2023,7/20/2023,JULY,Summer ,2023,9.612868698
San Pablo,C,72,6/21/2023,7/20/2023,JULY,Summer ,2023,17.02179803
San Pablo,C,150,6/21/2023,7/20/2023,JULY,Summer ,2023,4.460516567
San Pablo,D,0.5,6/21/2023,7/20/2023,JULY,Summer ,2023,13.74742758
San Pablo,D,2,6/21/2023,7/20/2023,JULY,Summer ,2023,7.114905376
San Pablo,D,6,6/21/2023,7/20/2023,JULY,Summer ,2023,1.257902338
San Pablo,D,12,6/21/2023,7/20/2023,JULY,Summer ,2023,2.603528629
San Pablo,D,24,6/21/2023,7/20/2023,JULY,Summer ,2023,356.4813614
San Pablo,D,48,6/21/2023,7/20/2023,JULY,Summer ,2023,#REF!
San Pablo,D,72,6/21/2023,7/20/2023,JULY,Summer ,2023,17.6189123
San Pablo,D,150,6/21/2023,7/20/2023,JULY,Summer ,2023,4.199316034
