Study Phase ,Site ,Tran,Dist ,Rep or Extra,St Filter Wt (g) ,Date Placed,St Ziploc Wt (g) ,Date Removed ,Filter Area (cm2) ,Rubber Band Surface Area (cm2),Prop Filter Recovered (%)  ,"Post-Dry Mass  (Filter/Zip/Sed Total, g) ",Adjusted Filter Mass Recovered (g),Adjusted Filter Surface Area Recovered (cm2),"Sediment Mass               (Post-Dry Mass- Adjusted Filter Mass Recovered-Bag Mass, g)",Sediment Density (Sediment Mass/Adj Filter SA; g/cm2),Flux                        (# of Days Deployed) ,Flux-cm                (Sediment Density/Duration;  g/cm2 per day)  ,Flux-m                  (Sediment Density/Duration; g/m2 per day) 
M1,B ,1,0.5,b ,0.42712,7/8/2025,6.36425,8/5/2025,63.61725116,5.31,0.5,6.93127,0.21356,26.49862558,0.35346,0.013338805,28,0.000476386,4.763858937
M1,B ,1,0.5,c,0.4255,7/8/2025,6.34779,8/5/2025,63.61725116,5.31,0.25,6.79074,0.106375,10.59431279,0.336575,0.031769404,28,0.001134622,11.34621561
M1,B ,1,2,a ,0.44051,7/8/2025,6.30105,8/5/2025,63.61725116,5.31,1,7.09089,0.44051,58.30725116,0.34933,0.005991193,28,0.000213971,2.139711816
M1,B ,1,2,b ,0.4424,7/8/2025,6.41347,8/5/2025,63.61725116,5.31,1,7.12672,0.4424,58.30725116,0.27085,0.00464522,28,0.000165901,1.659007086
M1,B ,1,2,c,0.42581,7/8/2025,6.34239,8/5/2025,63.61725116,5.31,1,7.29905,0.42581,58.30725116,0.53085,0.009104356,28,0.000325156,3.251555886
M1,B ,1,6,a ,0.44106,7/8/2025,6.38597,8/5/2025,63.61725116,5.31,1,7.75858,0.44106,58.30725116,0.93155,0.015976572,28,0.000570592,5.705918594
M1,B ,1,6,b ,0.43987,7/8/2025,6.35878,8/5/2025,63.61725116,5.31,1,7.31746,0.43987,58.30725116,0.51881,0.008897864,28,0.000317781,3.177808626
M1,B ,1,6,c,0.42693,7/8/2025,6.34941,8/5/2025,63.61725116,5.31,1,7.8081,0.42693,58.30725116,1.03176,0.017695226,28,0.000631972,6.319723653
M1,B ,1,12,a ,0.44022,7/8/2025,6.33933,8/5/2025,63.61725116,5.31,1,7.07426,0.44022,58.30725116,0.29471,0.005054431,28,0.000180515,1.805154065
M1,B ,1,12,b ,0.42604,7/8/2025,6.3744,8/5/2025,63.61725116,5.31,1,7.8149,0.42604,58.30725116,1.01446,0.017398522,28,0.000621376,6.213757906
M1,B ,1,12,c,0.4434,7/8/2025,6.32331,8/5/2025,63.61725116,5.31,1,7.15284,0.4434,58.30725116,0.38613,0.006622332,28,0.000236512,2.365118723
M1,B ,1,24,a ,0.42606,7/8/2025,6.39057,8/5/2025,63.61725116,5.31,1,7.49463,0.42606,58.30725116,0.678,0.011628056,28,0.000415288,4.152877255
M1,B ,1,24,b ,0.44155,7/8/2025,6.3825,8/5/2025,63.61725116,5.31,1,7.42101,0.44155,58.30725116,0.59696,0.010238178,28,0.000365649,3.656492044
M1,B ,1,24,c,0.4404,7/8/2025,6.3805,8/5/2025,63.61725116,5.31,1,7.36269,0.4404,58.30725116,0.54179,0.009291983,28,0.000331857,3.318565439
M1,B ,1,48,a ,0.42638,7/8/2025,6.34227,8/5/2025,63.61725116,5.31,1,7.61399,0.42638,58.30725116,0.84534,0.014498025,28,0.000517787,5.177866163
M1,B ,1,48,b ,0.44007,7/8/2025,6.30353,8/5/2025,63.61725116,5.31,1,7.59071,0.44007,58.30725116,0.84711,0.014528382,28,0.000518871,5.188707746
M1,B ,1,48,c,0.42473,7/8/2025,6.31787,8/5/2025,63.61725116,5.31,1,8.07013,0.42473,58.30725116,1.32753,0.022767837,28,0.000813137,8.131370416
M1,B ,2,0.5,a ,0.42314,7/8/2025,6.96177,8/5/2025,63.61725116,5.31,0.5,7.48863,0.21157,26.49862558,0.31529,0.011898353,28,0.000424941,4.24941177
M1,B ,2,0.5,b ,0.43435,7/8/2025,6.92768,8/5/2025,63.61725116,5.31,0.25,8.58295,0.1085875,10.59431279,1.5466825,0.145991772,28,0.005213992,52.13991866
M1,B ,2,0.5,c,0.42417,7/8/2025,6.98699,8/5/2025,63.61725116,5.31,0.75,8.02378,0.3181275,42.40293837,0.7186625,0.016948413,28,0.0006053,6.053004543
M1,B ,2,2,a ,0.43548,7/8/2025,7.01318,8/5/2025,63.61725116,5.31,0.75,8.24031,0.32661,42.40293837,0.90052,0.021237207,28,0.000758472,7.584716958
M1,B ,2,2,b ,0.43514,7/8/2025,7.05628,8/5/2025,63.61725116,5.31,1,9.06361,0.43514,58.30725116,1.57219,0.026963885,28,0.000962996,9.629958837
M1,B ,2,2,c,0.43568,7/8/2025,7.01187,8/5/2025,63.61725116,5.31,1,8.68815,0.43568,58.30725116,1.2406,0.021276942,28,0.000759891,7.59890785
M1,B ,2,6,a ,0.42259,7/8/2025,6.94696,8/5/2025,63.61725116,5.31,1,8.89847,0.42259,58.30725116,1.52892,0.026221782,28,0.000936492,9.364921966
M1,B ,2,6,b ,0.43376,7/8/2025,7.06978,8/5/2025,63.61725116,5.31,1,9.45893,0.43376,58.30725116,1.95539,0.033535966,28,0.001197713,11.97713076
M1,B ,2,6,c,0.42445,7/8/2025,7.02391,8/5/2025,63.61725116,5.31,1,9.42816,0.42445,58.30725116,1.9798,0.03395461,28,0.001212665,12.12664659
M1,B ,2,12,a ,0.43321,7/8/2025,6.94625,8/5/2025,63.61725116,5.31,0.75,8.67181,0.3249075,42.40293837,1.4006525,0.033031968,28,0.001179713,11.7971314
M1,B ,2,12,b ,0.43595,7/8/2025,6.99248,8/5/2025,63.61725116,5.31,1,9.61019,0.43595,58.30725116,2.18176,0.037418331,28,0.001336369,13.3636895
M1,B ,2,12,c,0.42329,7/8/2025,7.06818,8/5/2025,63.61725116,5.31,1,8.57641,0.42329,58.30725116,1.08494,0.018607291,28,0.000664546,6.645461134
M1,B ,2,24,a ,0.43371,7/8/2025,6.93755,8/5/2025,63.61725116,5.31,1,8.29529,0.43371,58.30725116,0.92403,0.0158476,28,0.000565986,5.659857183
M1,B ,2,24,b ,0.42358,7/8/2025,7.01829,8/5/2025,63.61725116,5.31,1,8.40446,0.42358,58.30725116,0.96259,0.016508924,28,0.000589604,5.89604442
M1,B ,2,24,c,0.4364,7/8/2025,6.9791,8/5/2025,63.61725116,5.31,1,8.34494,0.4364,58.30725116,0.92944,0.015940384,28,0.000569299,5.692994448
M1,B ,2,48,a ,0.43656,7/8/2025,6.96286,8/5/2025,63.61725116,5.31,1,9.31357,0.43656,58.30725116,1.91415,0.032828678,28,0.001172453,11.72452802
M1,B ,2,48,b ,0.42331,7/8/2025,7.00954,8/5/2025,63.61725116,5.31,1,8.67718,0.42331,58.30725116,1.24433,0.021340913,28,0.000762175,7.6217548
M1,B ,2,48,c,0.4336,7/8/2025,6.97519,8/5/2025,63.61725116,5.31,1,8.91843,0.4336,58.30725116,1.50964,0.025891119,28,0.000924683,9.246828347
M1,B ,,,E1 (B1-18a),0.42207,7/8/2025,6.31387,8/5/2025,63.61725116,5.31,1,7.21298,0.42207,58.30725116,0.47704,0.008181487,28,0.000292196,2.921959536
M1,B ,,,E2  (B1-18b),0.43449,7/8/2025,6.5303,8/5/2025,63.61725116,5.31,1,7.44938,0.43449,58.30725116,0.48459,0.008310973,28,0.00029682,2.968204704
M1,B ,,,E3 (B1-18c),0.43475,7/8/2025,6.32837,8/5/2025,63.61725116,5.31,1,7.28373,0.43475,58.30725116,0.52061,0.008928735,28,0.000318883,3.188833964
M1,B ,,,E4 ,0.4228,NA,NA,NA,63.61725116,5.31,NA,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
M1,G,1,0.5,a ,0.42669,7/9/2025,6.58053,8/6/2025,63.61725116,5.31,1,6.62975,0.42669,58.30725116,-0.37747,-0.006473809,28,-0.000231207,-2.312074598
M1,G,1,0.5,b ,0.43941,7/9/2025,6.60607,8/6/2025,63.61725116,5.31,0.75,10.90851,0.3295575,42.40293837,3.9728825,0.093693566,28,0.003346199,33.46198782
M1,G,1,0.5,c,0.43635,7/9/2025,6.58266,8/6/2025,63.61725116,5.31,1,15.80663,0.43635,58.30725116,8.78762,0.150712301,28,0.005382582,53.82582186
M1,G,1,2,a ,0.42356,7/9/2025,6.59462,8/6/2025,63.61725116,5.31,0.5,7.50622,0.21178,26.49862558,0.69982,0.026409672,28,0.000943203,9.432025579
M1,G,1,2,b ,0.43584,7/9/2025,6.65154,8/6/2025,63.61725116,5.31,1,8.43016,0.43584,58.30725116,1.34278,0.023029383,28,0.000822478,8.224779529
M1,G,1,2,c,0.42372,7/9/2025,6.60981,8/6/2025,63.61725116,5.31,1,10.19847,0.42372,58.30725116,3.16494,0.054280384,28,0.001938585,19.38585153
M1,G,1,6,a ,0.43828,7/9/2025,6.67233,8/6/2025,63.61725116,5.31,1,10.01104,0.43828,58.30725116,2.90043,0.049743899,28,0.001776568,17.76567814
M1,G,1,6,b ,0.42449,7/9/2025,6.64696,8/6/2025,63.61725116,5.31,1,8.9651,0.42449,58.30725116,1.89365,0.032477093,28,0.001159896,11.59896167
M1,G,1,6,c,0.43803,7/9/2025,6.64503,8/6/2025,63.61725116,5.31,1,9.26942,0.43803,58.30725116,2.18636,0.037497223,28,0.001339187,13.39186536
M1,G,1,12,a ,0.42455,7/9/2025,6.69969,8/6/2025,63.61725116,5.31,1,8.68407,0.42455,58.30725116,1.55983,0.026751904,28,0.000955425,9.554251517
M1,G,1,12,b ,0.4363,7/9/2025,6.62182,8/6/2025,63.61725116,5.31,1,8.58856,0.4363,58.30725116,1.53044,0.02624785,28,0.000937423,9.374232251
M1,G,1,12,c,0.42479,7/9/2025,6.68327,8/6/2025,63.61725116,5.31,1,8.7545,0.42479,58.30725116,1.64644,0.028237311,28,0.001008475,10.08475402
M1,G,1,24,a ,0.438,7/9/2025,6.68204,8/6/2025,63.61725116,5.31,1,8.27366,0.438,58.30725116,1.15362,0.019785189,28,0.000706614,7.066139025
M1,G,1,24,b ,0.43867,7/9/2025,6.66069,8/6/2025,63.61725116,5.31,1,8.06063,0.43867,58.30725116,0.96127,0.016486286,28,0.000588796,5.887959172
M1,G,1,24,c,0.42518,7/9/2025,6.58249,8/6/2025,63.61725116,5.31,1,8.32552,0.42518,58.30725116,1.31785,0.02260182,28,0.000807208,8.0720786
M1,G,1,48,a ,0.43807,7/9/2025,6.62673,8/6/2025,63.61725116,5.31,0.5,7.41119,0.219035,26.49862558,0.565425,0.021337899,28,0.000762068,7.620678265
M1,G,1,48,b ,0.42597,7/9/2025,6.62903,8/6/2025,63.61725116,5.31,1,7.45183,0.42597,58.30725116,0.39683,0.006805843,28,0.000243066,2.430658232
M1,G,1,48,c,0.43694,7/9/2025,6.66164,8/6/2025,63.61725116,5.31,1,7.48447,0.43694,58.30725116,0.38589,0.006618216,28,0.000236365,2.363648678
M1,G,2,0.5,a ,0.42444,7/9/2025,6.61412,8/6/2025,63.61725116,5.31,0,6.60996,0,-5.31,-0.00416,0.000783427,28,2.79796E-05,0.279795534
M1,G,2,0.5,b ,0.43743,7/9/2025,6.59618,8/6/2025,63.61725116,5.31,0,6.60447,0,-5.31,0.00829,-0.001561205,28,-5.57573E-05,-0.557573312
M1,G,2,0.5,c,0.43774,7/9/2025,6.58164,8/6/2025,63.61725116,5.31,0,6.58134,0,-5.31,-0.0003,5.64972E-05,28,2.01776E-06,0.020177563
M1,G,2,2,a ,0.42283,7/9/2025,6.6538,8/6/2025,63.61725116,5.31,0.5,20.63699,0.211415,26.49862558,13.771775,0.519716578,28,0.018561306,185.6130635
M1,G,2,2,b ,0.43595,7/9/2025,6.58192,8/6/2025,63.61725116,5.31,1,64.7865,0.43595,58.30725116,57.76863,0.990762364,28,0.03538437,353.8437014
M1,G,2,2,c,0.42492,7/9/2025,6.649,8/6/2025,63.61725116,2.655,1,11.85129,0.42492,60.96225116,4.77737,0.078366037,28,0.002798787,27.98787018
M1,G,2,6,a ,0.42946,7/9/2025,6.59414,8/6/2025,63.61725116,5.31,1,8.61379,0.42946,58.30725116,1.59019,0.027272594,28,0.000974021,9.740212215
M1,G,2,6,b ,0.43231,7/9/2025,6.63723,8/6/2025,63.61725116,5.31,1,8.66661,0.43231,58.30725116,1.59707,0.02739059,28,0.000978235,9.782353507
M1,G,2,6,c,0.4328,7/9/2025,6.69157,8/6/2025,63.61725116,5.31,1,8.71469,0.4328,58.30725116,1.59032,0.027274824,28,0.000974101,9.74100849
M1,G,2,12,a ,0.43375,7/9/2025,6.55739,8/6/2025,63.61725116,5.31,1,8.24541,0.43375,58.30725116,1.25427,0.02151139,28,0.000768264,7.682639166
M1,G,2,12,b ,0.43256,7/9/2025,6.64941,8/6/2025,63.61725116,5.31,1,8.27814,0.43256,58.30725116,1.19617,0.020514944,28,0.000732677,7.326765761
M1,G,2,12,c,0.43267,7/9/2025,6.63736,8/6/2025,63.61725116,5.31,1,8.37073,0.43267,58.30725116,1.3007,0.022307689,28,0.000796703,7.967031631
M1,G,2,24,a ,0.42796,7/9/2025,6.58768,8/6/2025,63.61725116,5.31,1,7.54795,0.42796,58.30725116,0.53231,0.009129396,28,0.00032605,3.26049866
M1,G,2,24,b ,0.42898,7/9/2025,6.53838,8/6/2025,63.61725116,5.31,1,7.50952,0.42898,58.30725116,0.54216,0.009298329,28,0.000332083,3.320831759
M1,G,2,24,c,0.43245,7/9/2025,6.61165,8/6/2025,63.61725116,5.31,1,7.61164,0.43245,58.30725116,0.56754,0.009733609,28,0.000347629,3.476289023
M1,G,2,48,a ,0.42977,7/9/2025,6.62462,8/6/2025,63.61725116,5.31,1,7.61727,0.42977,58.30725116,0.56288,0.009653688,28,0.000344775,3.447745648
M1,G,2,48,b ,0.43139,7/9/2025,6.64268,8/6/2025,63.61725116,5.31,1,7.69618,0.43139,58.30725116,0.62211,0.010669513,28,0.000381054,3.810540515
M1,G,2,48,c,0.42964,7/9/2025,6.58367,8/6/2025,63.61725116,5.31,1,7.43229,0.42964,58.30725116,0.41898,0.007185727,28,0.000256633,2.566331139
M1,G,,,E1 ,0.4321,NA,6.4449,NA,63.61725116,5.31,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
M1,G,,,E2 ,0.43558,NA,6.68937,NA,63.61725116,5.31,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
M1,G,,,E3,0.42677,NA,6.61154,NA,63.61725116,5.31,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
M1,G,,,E4 ,0.43303,NA,6.6825,NA,63.61725116,5.31,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
M1,C,1,0.5,a ,0.42776,NA,No M1,NA,63.61725116,5.31,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
M1,C,1,0.5,b ,0.43178,NA,No M1,NA,63.61725116,5.31,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
M1,C,1,0.5,c,0.42708,NA,No M1,NA,63.61725116,5.31,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
M1,C,1,2,a ,0.434,NA,No M1,NA,63.61725116,5.31,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
M1,C,1,2,b ,0.43365,NA,No M1,NA,63.61725116,5.31,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
M1,C,1,2,c,0.42503,NA,No M1,NA,63.61725116,5.31,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
M1,C,1,6,a ,0.431782,NA,No M1,NA,63.61725116,5.31,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
M1,C,1,6,b ,0.42466,NA,No M1,NA,63.61725116,5.31,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
M1,C,1,6,c,0.43222,NA,No M1,NA,63.61725116,5.31,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
M1,C,1,12,a ,0.42714,NA,No M1,NA,63.61725116,5.31,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
M1,C,1,12,b ,0.43037,NA,No M1,NA,63.61725116,5.31,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
M1,C,1,12,c,0.42927,NA,No M1,NA,63.61725116,5.31,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
M1,C,1,24,a ,0.4273,NA,No M1,NA,63.61725116,5.31,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
M1,C,1,24,b ,0.43082,NA,No M1,NA,63.61725116,5.31,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
M1,C,1,24,c,0.42634,NA,No M1,NA,63.61725116,5.31,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
M1,C,1,48,a ,0.43247,NA,No M1,NA,63.61725116,5.31,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
M1,C,1,48,b ,0.428905,NA,No M1,NA,63.61725116,5.31,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
M1,C,1,48,c,0.43126,NA,No M1,NA,63.61725116,5.31,NA,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
M1,C,2,0.5,a ,0.42488,7/10/2025,6.65062,8/7/2025,63.61725116,5.31,0,6.66619,0,-5.31,0.01557,-0.002932203,28,-0.000104722,-1.047215496
M1,C,2,0.5,b ,0.4265,7/10/2025,6.67601,8/7/2025,63.61725116,5.31,0.25,6.90005,0.106625,10.59431279,0.117415,0.011082833,28,0.000395815,3.958154663
M1,C,2,0.5,c,0.43227,7/10/2025,6.62626,8/7/2025,63.61725116,5.31,0.25,6.82556,0.1080675,10.59431279,0.0912325,0.00861146,28,0.000307552,3.075521401
M1,C,2,2,a ,0.42868,7/10/2025,6.64936,8/7/2025,63.61725116,5.31,0.25,6.89455,0.10717,10.59431279,0.13802,0.013027744,28,0.000465277,4.652765887
M1,C,2,2,b ,0.43172,7/10/2025,6.68775,8/7/2025,63.61725116,5.31,0,6.76224,0,-5.31,0.07449,-0.014028249,28,-0.000501009,-5.010088781
M1,C,2,2,c,0.42644,7/10/2025,6.63587,8/7/2025,63.61725116,5.31,1,7.34914,0.42644,58.30725116,0.28683,0.004919285,28,0.000175689,1.756887586
M1,C,2,6,a ,0.43198,7/10/2025,6.64065,8/7/2025,63.61725116,5.31,1,7.58966,0.43198,58.30725116,0.51703,0.008867336,28,0.000316691,3.166905792
M1,C,2,6,b ,0.42608,7/10/2025,6.61558,8/7/2025,63.61725116,5.31,0.5,7.35239,0.21304,26.49862558,0.52377,0.019765931,28,0.000705926,7.059261007
