Study.Phase,Site,Tran,Dist,Replicate,Date.placed.in.field,Date.removed.from.field,Year,Flux,Filter_Num,RB_Num,Flood_Obsv,Bio_Obsv,Drop_Obsv,OpenBag_Obsv,Position_Obsv,DryTime_Obsv,NegValue_Num,Master_Flag,marsh_edge_type,marsh_orientation,Phen_Period,Marsh_Area,Point_ID,Elevation_m,z_star
M2,GiantMarsh,T1,6,b,2025-08-06,2025-09-06,2025,4.188405407,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G1-6b,1.9793751587503172,1.095155106
M2,GiantMarsh,T1,6,c,2025-08-06,2025-09-06,2025,7.719756331,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G1-6c,1.9763271526543051,1.091669571
M2,GiantMarsh,T1,12,a,2025-08-06,2025-09-06,2025,7.482957101,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Platform,G1-12a,1.9418846837693675,1.052283025
M2,GiantMarsh,T1,12,b,2025-08-06,2025-09-06,2025,6.810538557,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Platform,G1-12b,1.9495046990093976,1.060996863
M2,GiantMarsh,T1,12,c,2025-08-06,2025-09-06,2025,6.133708551,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Platform,G1-12c,1.9577343154686309,1.070407808
M2,GiantMarsh,T1,24,a,2025-08-06,2025-09-06,2025,3.334254863,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Platform,G1-24a,1.94005588011176,1.050191704
M2,GiantMarsh,T1,24,b,2025-08-06,2025-09-06,2025,2.452165052,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Platform,G1-24b,1.9467614935229869,1.057859881
M2,GiantMarsh,T1,24,c,2025-08-06,2025-09-06,2025,2.91962803,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Platform,G1-24c,1.952247904495809,1.064133845
M2,GiantMarsh,T1,48,a,2025-08-06,2025-09-06,2025,2.196503013,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Upland,G1-48a,1.8736093472186943,0.974207041
M2,GiantMarsh,T1,48,b,2025-08-06,2025-09-06,2025,2.040732727,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Upland,G1-48b,1.8595885191770385,0.95817358
M2,GiantMarsh,T1,48,c,2025-08-06,2025-09-06,2025,1.662868088,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Upland,G1-48c,1.886106172212344,0.988497734
M2,GiantMarsh,T2,0.5,a,2025-08-06,2025-09-06,2025,NA,1,1,0,0,0,0,0,0,0,Review,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G2-0.5a,2.0357632715265432,1.159637504
M2,GiantMarsh,T2,0.5,b,2025-08-06,2025-09-06,2025,498.2268996,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G2-0.5b,2.041249682499365,1.165911467
M2,GiantMarsh,T2,0.5,c,2025-08-06,2025-09-06,2025,374.9298503,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G2-0.5c,2.0519177038354077,1.17811084
M2,GiantMarsh,T2,2,a,2025-08-06,2025-09-06,2025,490.8347578,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G2-2a,2.0616713233426465,1.189264552
M2,GiantMarsh,T2,2,b,2025-08-06,2025-09-06,2025,557.8402693,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G2-2b,2.054051308102616,1.180550715
M2,GiantMarsh,T2,2,c,2025-08-06,2025-09-06,2025,742.0371115,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G2-2c,2.0564897129794257,1.183339143
M2,GiantMarsh,T2,6,a,2025-08-06,2025-09-06,2025,12.75389501,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G2-6a,1.9406654813309625,1.050888811
M2,GiantMarsh,T2,6,b,2025-08-06,2025-09-06,2025,11.3595177,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G2-6b,1.9434086868173737,1.054025793
M2,GiantMarsh,T2,6,c,2025-08-06,2025-09-06,2025,9.972999888,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G2-6c,1.9473710947421896,1.058556988
M2,GiantMarsh,T2,12,a,2025-08-06,2025-09-06,2025,3.579319248,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Platform,G2-12a,1.9333502667005331,1.042523527
M2,GiantMarsh,T2,12,b,2025-08-06,2025-09-06,2025,3.749642293,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Platform,G2-12b,1.9354838709677415,1.044963402
M2,GiantMarsh,T2,12,c,2025-08-06,2025-09-06,2025,3.872808316,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Platform,G2-12c,1.9318262636525272,1.04078076
M2,GiantMarsh,T2,24,a,2025-08-06,2025-09-06,2025,1.351226102,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Platform,G2-24a,1.9357886715773431,1.045311955
M2,GiantMarsh,T2,24,b,2025-08-06,2025-09-06,2025,1.204684394,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Platform,G2-24b,1.9406654813309625,1.050888811
M2,GiantMarsh,T2,24,c,2025-08-06,2025-09-06,2025,1.231153173,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Platform,G2-24c,1.9354838709677415,1.044963402
M2,GiantMarsh,T2,48,a,2025-08-06,2025-09-06,2025,1.140236467,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Upland,G2-48a,1.8733045466090932,0.973858487
M2,GiantMarsh,T2,48,b,2025-08-06,2025-09-06,2025,0.925748084,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Upland,G2-48b,1.897078994157988,1.001045661
M2,GiantMarsh,T2,48,c,2025-08-06,2025-09-06,2025,1.288350075,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Upland,G2-48c,1.8836677673355344,0.985709306
M3,GiantMarsh,T1,0.5,a,2025-09-06,2025-10-07,2025,2.202283551,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G1-0.5a,2.067462535,1.195887069
M3,GiantMarsh,T1,0.5,b,2025-09-06,2025-10-07,2025,2.172316026,0,1,0,0,0,0,0,0,0,Review,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G1-0.5b,2.066243332486665,1.194492855
M3,GiantMarsh,T1,0.5,c,2025-09-06,2025-10-07,2025,2.235141346,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G1-0.5c,2.0574041148082296,1.184384803
M3,GiantMarsh,T1,2,a,2025-09-06,2025-10-07,2025,2.836773653,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G1-2a,2.0183896367792733,1.139769955
M3,GiantMarsh,T1,2,b,2025-09-06,2025-10-07,2025,31.50377978,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G1-2b,2.019304038608077,1.140815615
M3,GiantMarsh,T1,2,c,2025-09-06,2025-10-07,2025,61.89211857,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G1-2c,2.0189992379984756,1.140467062
M3,GiantMarsh,T1,6,a,2025-09-06,2025-10-07,2025,5.843109752,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G1-6a,1.9723647447294896,1.087138376
M3,GiantMarsh,T1,6,b,2025-09-06,2025-10-07,2025,6.910734549,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G1-6b,1.9793751587503172,1.095155106
M3,GiantMarsh,T1,6,c,2025-09-06,2025-10-07,2025,6.2030243,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G1-6c,1.9763271526543051,1.091669571
M3,GiantMarsh,T1,12,a,2025-09-06,2025-10-07,2025,4.274961357,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Platform,G1-12a,1.9418846837693675,1.052283025
M3,GiantMarsh,T1,12,b,2025-09-06,2025-10-07,2025,3.935785756,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Platform,G1-12b,1.9495046990093976,1.060996863
M3,GiantMarsh,T1,12,c,2025-09-06,2025-10-07,2025,3.468322778,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Platform,G1-12c,1.9577343154686309,1.070407808
M3,GiantMarsh,T1,24,a,2025-09-06,2025-10-07,2025,1.776552001,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Platform,G1-24a,1.94005588011176,1.050191704
M3,GiantMarsh,T1,24,b,2025-09-06,2025-10-07,2025,1.747243659,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Platform,G1-24b,1.9467614935229869,1.057859881
M3,GiantMarsh,T1,24,c,2025-09-06,2025-10-07,2025,2.202841322,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Platform,G1-24c,1.952247904495809,1.064133845
M3,GiantMarsh,T1,48,a,2025-09-06,2025-10-07,2025,2.495924739,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Upland,G1-48a,1.8736093472186943,0.974207041
M3,GiantMarsh,T1,48,b,2025-09-06,2025-10-07,2025,2.32078458,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Upland,G1-48b,1.8595885191770385,0.95817358
M3,GiantMarsh,T1,48,c,2025-09-06,2025-10-07,2025,1.998697061,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Upland,G1-48c,1.886106172212344,0.988497734
M3,GiantMarsh,T2,0.5,a,2025-09-06,2025-10-07,2025,611.2994449,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G2-0.5a,2.0357632715265432,1.159637504
M3,GiantMarsh,T2,0.5,b,2025-09-06,2025-10-07,2025,1234.412078,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G2-0.5b,2.041249682499365,1.165911467
M3,GiantMarsh,T2,0.5,c,2025-09-06,2025-10-07,2025,978.2368395,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G2-0.5c,2.0519177038354077,1.17811084
M3,GiantMarsh,T2,2,a,2025-09-06,2025-10-07,2025,47.65074916,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G2-2a,2.0616713233426465,1.189264552
M3,GiantMarsh,T2,2,b,2025-09-06,2025-10-07,2025,178.9319891,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G2-2b,2.054051308102616,1.180550715
M3,GiantMarsh,T2,2,c,2025-09-06,2025-10-07,2025,16.56879653,0,1,0,0,0,0,0,0,0,Review,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G2-2c,2.0564897129794257,1.183339143
M3,GiantMarsh,T2,6,a,2025-09-06,2025-10-07,2025,6.442003909,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G2-6a,1.9406654813309625,1.050888811
M3,GiantMarsh,T2,6,b,2025-09-06,2025-10-07,2025,7.085367643,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G2-6b,1.9434086868173737,1.054025793
M3,GiantMarsh,T2,6,c,2025-09-06,2025-10-07,2025,8.272254065,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G2-6c,1.9473710947421896,1.058556988
M3,GiantMarsh,T2,12,a,2025-09-06,2025-10-07,2025,3.122910282,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Platform,G2-12a,1.9333502667005331,1.042523527
M3,GiantMarsh,T2,12,b,2025-09-06,2025-10-07,2025,2.800670643,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Platform,G2-12b,1.9354838709677415,1.044963402
M3,GiantMarsh,T2,12,c,2025-09-06,2025-10-07,2025,2.912681243,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Platform,G2-12c,1.9318262636525272,1.04078076
M3,GiantMarsh,T2,24,a,2025-09-06,2025-10-07,2025,0.949782953,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Platform,G2-24a,1.9357886715773431,1.045311955
M3,GiantMarsh,T2,24,b,2025-09-06,2025-10-07,2025,1.008095397,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Platform,G2-24b,1.9406654813309625,1.050888811
M3,GiantMarsh,T2,24,c,2025-09-06,2025-10-07,2025,0.989131176,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Platform,G2-24c,1.9354838709677415,1.044963402
M3,GiantMarsh,T2,48,a,2025-09-06,2025-10-07,2025,1.725287756,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Upland,G2-48a,1.8733045466090932,0.973858487
M3,GiantMarsh,T2,48,b,2025-09-06,2025-10-07,2025,1.1647784,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Upland,G2-48b,1.897078994157988,1.001045661
M3,GiantMarsh,T2,48,c,2025-09-06,2025-10-07,2025,1.382866942,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Late_Dry
(Months 1-3)",Upland,G2-48c,1.8836677673355344,0.985709306
M4,GiantMarsh,T1,0.5,a,2025-10-07,2025-11-04,2025,3.667637248,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Tran
(Months 4-6)",Edge,G1-0.5a,2.067462535,1.195887069
M4,GiantMarsh,T1,0.5,b,2025-10-07,2025-11-04,2025,1.553262424,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Tran
(Months 4-6)",Edge,G1-0.5b,2.066243332486665,1.194492855
M4,GiantMarsh,T1,0.5,c,2025-10-07,2025-11-04,2025,2.538844146,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Tran
(Months 4-6)",Edge,G1-0.5c,2.0574041148082296,1.184384803
M4,GiantMarsh,T1,2,a,2025-10-07,2025-11-04,2025,11.83321214,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Tran
(Months 4-6)",Edge,G1-2a,2.0183896367792733,1.139769955
M4,GiantMarsh,T1,2,b,2025-10-07,2025-11-04,2025,20.7538046,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Tran
(Months 4-6)",Edge,G1-2b,2.019304038608077,1.140815615
M4,GiantMarsh,T1,2,c,2025-10-07,2025-11-04,2025,35.80671844,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Tran
(Months 4-6)",Edge,G1-2c,2.0189992379984756,1.140467062
M4,GiantMarsh,T1,6,a,2025-10-07,2025-11-04,2025,8.739992307,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Tran
(Months 4-6)",Edge,G1-6a,1.9723647447294896,1.087138376
M4,GiantMarsh,T1,6,b,2025-10-07,2025-11-04,2025,6.234045796,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Tran
(Months 4-6)",Edge,G1-6b,1.9793751587503172,1.095155106
M4,GiantMarsh,T1,6,c,2025-10-07,2025-11-04,2025,10.29011093,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Tran
(Months 4-6)",Edge,G1-6c,1.9763271526543051,1.091669571
M4,GiantMarsh,T1,12,a,2025-10-07,2025-11-04,2025,3.109444091,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Tran
(Months 4-6)",Platform,G1-12a,1.9418846837693675,1.052283025
M4,GiantMarsh,T1,12,b,2025-10-07,2025-11-04,2025,2.622603997,0,0,0,0,0,0,0,0,0,OK,Scarped,West.facing,"Tran
(Months 4-6)",Platform,G1-12b,1.9495046990093976,1.060996863
