,,,,,,,,,,C1-6a,half a filter left ,50,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,C1-12 SA,1 sample a and b ponding at end of collect ,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,C2-48a,ponding at time of collect ,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,Scarp/Pickle/Spartina,C1,   Scarp: 116 cm                                                    Spartina: none observed                 Pickleweed: 116 cm   ,     ,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,Scarp/Pickle/Spartina,C2 ,   Scarp: 125 cm                                                  Spartina: none observed              Pickleweed: 118 cm,         ,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Site Field Observation Sheet: SITE G,,,,,,,,,,,,,
12/11/2025,,,,,G2 48b and c ,Slightly frayed while placing ,,,,G1- 6SA,All had ulva on top but not on filter ,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,G1-12 SA ,All ulva on filters ,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,"Lots of ulva starting, also on pads ",,,,G2 18 SA,"Lots of ulva starting, also on pads ",,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,G2 12a,Ulva came off and left off filter;  G12 SA pictures show ulva general imapct,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,G2 12c,Ulva folded onto filter away from band; G12 SA pictures show ulva general imapct,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,G2 0.5c and SA,"0.5c might be slightly different position on placement, found pins slightly off center",,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,Scarp/Pickle/Spartina ,G1,"   Scarp: 146 cm                                                    Spartina: 0 m none observed                Pickleweed: 46 cm, very little growth lots of salt grass        ",,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,Scarp/Pickle/Spartina ,G2,   Scarp: 108 cm                                                  Spartina: 20 cm             Pickleweed: 82 cm       ,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Site Field Observation Sheet: SITE B,,,,,,,,,,,,,
12/12/2025,,,,,B2-12c has rip in corner of the filter ,,,,,B1-18b,1/4 of rubber band broke off so no imprint ,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,Scarp/Pickle/Spartina ,B1,   Scarp: NA                                                    Spartina: 48 cm                Pickleweed: 115 cm      ,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,Scarp/Pickle/Spartina ,B2,   Scarp: NA                                                  Spartina: 22 cm               Pickleweed: 99 cm       ,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Site Field Observation Sheet: SITE C,,,,,,,,,,,,,
1/10/2026,,,,,C1 6-48 SA,Used C2 filters for 6-48 SA a,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,C2 6-48 SA,Used C1 filters for 6-48 SA a,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,Scarp/Pickle/Spartina ,C1,   Scarp: 146 cm                                                 Spartina: none observed               Pickleweed: 137 cm   ,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,Scarp/Pickle/Spartina ,C2,   Scarp: 136 cm                                                 Spartina: none observed                     Pickleweed: 130.5 cm       ,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Site Field Observation Sheet: SITE S,,,,,,,,,,,,,
1/11/2026,,,,,,,,,,S1 12a and 12b,Take a look at filter edges frayed ,~80%? ,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,Scarp/Pickle/Spartina ,S1,   Scarp:NA                                                 Spartina: 25 cm               Pickleweed: 6 meters 6 cm      ,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,Scarp/Pickle/Spartina ,S2,   Scarp: NA                                                  Spartina: 11 cm             Pickleweed: 5 meters 86 cm       ,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Site Field Observation Sheet: SITE B,,,,,,,,,,,,,
1/22/2026,,,,,,,,,,B1-24b,"Small holes cut out-maybe 25%?, see pic",25%?,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,B1-18c,Bird poop on filter ,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,Scarp/Pickle/Spartina ,B1,   Scarp:NA                                                 Spartina: 12cm                Pickleweed: 215 cm      ,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,Scarp/Pickle/Spartina ,B2,   Scarp: NA                                                  Spartina: 24 cm                Pickleweed: 96 cm       ,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Site Field Observation Sheet: SITE G,,,,,,,,,,,,,
1/23/2026,,,,,,,,,,G1 and G2 6-24 SA,"Mostly seaweed, tried to take most of it together, expect for 24 I changed some of it",,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,Scarp/Pickle/Spartina ,G1,   Scarp: 144 cm                                                Spartina: none observed                Pickleweed: none observed     ,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,Scarp/Pickle/Spartina ,G2,   Scarp: 22 cm                                             Spartina: 22 cm                Pickleweed: 22 cm       ,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
