Study.Phase,Site,Tran,Dist,Replicate,Date.placed.in.field,Date.removed.from.field,Year,Flux,Filter_Num,RB_Num,Flood_Obsv,BigBio_Obsv,SmallBio_Obsv,Drop_Obsv,OpenBag_Obsv,Position_Obsv,DryTime_Obsv,NegValue_Num,Master_Flag,Month,marsh_edge_type,marsh_orientation,Phen_Period,Marsh_Area,Point_ID,Elevation_m,z_star
M1,GiantMarsh,T1,48,c,2025-07-09,2025-08-06,2025,2.166359826,0,0,0,0,0,0,0,0,0,0,OK,Jul,Scarped,West.facing,"Late_Dry
(Months 1-3)",Upland,G1-48c,1.886106172212344,0.988497734
M1,GiantMarsh,T2,0.5,a,2025-07-09,2025-08-06,2025,NA,1,0,0,0,0,0,0,0,0,1,Review,Jul,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G2-0.5a,2.0357632715265432,1.159637504
M1,GiantMarsh,T2,0.5,b,2025-07-09,2025-08-06,2025,NA,1,0,0,0,0,0,0,0,0,0,Review,Jul,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G2-0.5b,2.041249682499365,1.165911467
M1,GiantMarsh,T2,0.5,c,2025-07-09,2025-08-06,2025,NA,1,0,0,0,0,0,0,0,0,1,Review,Jul,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G2-0.5c,2.0519177038354077,1.17811084
M1,GiantMarsh,T2,2,a,2025-07-09,2025-08-06,2025,154.6275886,1,0,0,0,0,0,0,0,0,0,Review,Jul,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G2-2a,2.0616713233426465,1.189264552
M1,GiantMarsh,T2,2,b,2025-07-09,2025-08-06,2025,324.3091016,0,0,0,0,0,0,0,0,0,0,OK,Jul,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G2-2b,2.054051308102616,1.180550715
M1,GiantMarsh,T2,2,c,2025-07-09,2025-08-06,2025,26.81982545,0,1,0,0,0,0,0,0,0,0,Review,Jul,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G2-2c,2.0564897129794257,1.183339143
M1,GiantMarsh,T2,6,a,2025-07-09,2025-08-06,2025,8.927216905,0,0,0,0,0,0,0,0,0,0,OK,Jul,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G2-6a,1.9406654813309625,1.050888811
M1,GiantMarsh,T2,6,b,2025-07-09,2025-08-06,2025,8.96584075,0,0,0,0,0,0,0,0,0,0,OK,Jul,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G2-6b,1.9434086868173737,1.054025793
M1,GiantMarsh,T2,6,c,2025-07-09,2025-08-06,2025,8.927946716,0,0,0,0,0,0,0,0,0,0,OK,Jul,Scarped,West.facing,"Late_Dry
(Months 1-3)",Edge,G2-6c,1.9473710947421896,1.058556988
M1,GiantMarsh,T2,12,a,2025-07-09,2025-08-06,2025,7.04138521,0,0,0,0,0,0,0,0,0,0,OK,Jul,Scarped,West.facing,"Late_Dry
(Months 1-3)",Platform,G2-12a,1.9333502667005331,1.042523527
M1,GiantMarsh,T2,12,b,2025-07-09,2025-08-06,2025,6.71521582,0,0,0,0,0,0,0,0,0,0,OK,Jul,Scarped,West.facing,"Late_Dry
(Months 1-3)",Platform,G2-12b,1.9354838709677415,1.044963402
M1,GiantMarsh,T2,12,c,2025-07-09,2025-08-06,2025,7.302040026,0,0,0,0,0,0,0,0,0,0,OK,Jul,Scarped,West.facing,"Late_Dry
(Months 1-3)",Platform,G2-12c,1.9318262636525272,1.04078076
M1,GiantMarsh,T2,24,a,2025-07-09,2025-08-06,2025,2.9883516,0,0,0,0,0,0,0,0,0,0,OK,Jul,Scarped,West.facing,"Late_Dry
(Months 1-3)",Platform,G2-24a,1.9357886715773431,1.045311955
M1,GiantMarsh,T2,24,b,2025-07-09,2025-08-06,2025,3.04364882,0,0,0,0,0,0,0,0,0,0,OK,Jul,Scarped,West.facing,"Late_Dry
(Months 1-3)",Platform,G2-24b,1.9406654813309625,1.050888811
M1,GiantMarsh,T2,24,c,2025-07-09,2025-08-06,2025,3.186130388,0,0,0,0,0,0,0,0,0,0,OK,Jul,Scarped,West.facing,"Late_Dry
(Months 1-3)",Platform,G2-24c,1.9354838709677415,1.044963402
M1,GiantMarsh,T2,48,a,2025-07-09,2025-08-06,2025,3.15996947,0,0,0,0,0,0,0,0,0,0,OK,Jul,Scarped,West.facing,"Late_Dry
(Months 1-3)",Upland,G2-48a,1.8733045466090932,0.973858487
M1,GiantMarsh,T2,48,b,2025-07-09,2025-08-06,2025,3.492482602,0,0,0,0,0,0,0,0,0,0,OK,Jul,Scarped,West.facing,"Late_Dry
(Months 1-3)",Upland,G2-48b,1.897078994157988,1.001045661
M1,GiantMarsh,T2,48,c,2025-07-09,2025-08-06,2025,2.352124802,0,0,0,0,0,0,0,0,0,0,OK,Jul,Scarped,West.facing,"Late_Dry
(Months 1-3)",Upland,G2-48c,1.8836677673355344,0.985709306
M1,CorteMadera,T1,0.5,a,NA,NA,2025,NA,1,0,0,0,0,0,0,0,0,NA,#VALUE!,NA,Scarped,East.facing,"Late_Dry
(Months 1-3)",Edge,C1-0.5a,1.6593345186690371,0.772363636
M1,CorteMadera,T1,0.5,b,NA,NA,2025,NA,1,0,0,0,0,0,0,0,0,NA,#VALUE!,NA,Scarped,East.facing,"Late_Dry
(Months 1-3)",Edge,C1-0.5b,1.6684785369570738,0.783272727
M1,CorteMadera,T1,0.5,c,NA,NA,2025,NA,1,0,0,0,0,0,0,0,0,NA,#VALUE!,NA,Scarped,East.facing,"Late_Dry
(Months 1-3)",Edge,C1-0.5c,1.6614681229362456,0.774909091
M1,CorteMadera,T1,2,a,NA,NA,2025,NA,1,0,0,0,0,0,0,0,0,NA,#VALUE!,NA,Scarped,East.facing,"Late_Dry
(Months 1-3)",Edge,C1-2a,1.6462280924561847,0.756727273
M1,CorteMadera,T1,2,b,NA,NA,2025,NA,1,0,0,0,0,0,0,0,0,NA,#VALUE!,NA,Scarped,East.facing,"Late_Dry
(Months 1-3)",Edge,C1-2b,1.6480568961137922,0.758909091
M1,CorteMadera,T1,2,c,NA,NA,2025,NA,1,0,0,0,0,0,0,0,0,NA,#VALUE!,NA,Scarped,East.facing,"Late_Dry
(Months 1-3)",Edge,C1-2c,1.6462280924561847,0.756727273
M1,CorteMadera,T1,6,a,NA,NA,2025,NA,1,0,0,0,0,0,0,0,0,NA,#VALUE!,NA,Scarped,East.facing,"Late_Dry
(Months 1-3)",Edge,C1-6a,1.664516129032258,0.778545455
M1,CorteMadera,T1,6,b,NA,NA,2025,NA,1,0,0,0,0,0,0,0,0,NA,#VALUE!,NA,Scarped,East.facing,"Late_Dry
(Months 1-3)",Edge,C1-6b,1.6620777241554483,0.775636364
M1,CorteMadera,T1,6,c,NA,NA,2025,NA,1,0,0,0,0,0,0,0,0,NA,#VALUE!,NA,Scarped,East.facing,"Late_Dry
(Months 1-3)",Edge,C1-6c,1.6529337058674116,0.764727273
M1,CorteMadera,T1,12,a,NA,NA,2025,NA,1,0,0,0,0,0,0,0,0,NA,#VALUE!,NA,Scarped,East.facing,"Late_Dry
(Months 1-3)",Platform,C1-12a,1.6413512827025651,0.750909091
M1,CorteMadera,T1,12,b,NA,NA,2025,NA,1,0,0,0,0,0,0,0,0,NA,#VALUE!,NA,Scarped,East.facing,"Late_Dry
(Months 1-3)",Platform,C1-12b,1.6447040894081788,0.754909091
M1,CorteMadera,T1,12,c,NA,NA,2025,NA,1,0,0,0,0,0,0,0,0,NA,#VALUE!,NA,Scarped,East.facing,"Late_Dry
(Months 1-3)",Platform,C1-12c,1.659029718059436,0.772
M1,CorteMadera,T1,24,a,NA,NA,2025,NA,1,0,0,0,0,0,0,0,0,NA,#VALUE!,NA,Scarped,East.facing,"Late_Dry
(Months 1-3)",Platform,C1-24a,1.7199898399796798,0.844727273
M1,CorteMadera,T1,24,b,NA,NA,2025,NA,1,0,0,0,0,0,0,0,0,NA,#VALUE!,NA,Scarped,East.facing,"Late_Dry
(Months 1-3)",Platform,C1-24b,1.7184658369316737,0.842909091
M1,CorteMadera,T1,24,c,NA,NA,2025,NA,1,0,0,0,0,0,0,0,0,NA,#VALUE!,NA,Scarped,East.facing,"Late_Dry
(Months 1-3)",Platform,C1-24c,1.7141986283972566,0.837818182
M1,CorteMadera,T1,48,a,NA,NA,2025,NA,1,0,0,0,0,0,0,0,0,NA,#VALUE!,NA,Scarped,East.facing,"Late_Dry
(Months 1-3)",Upland,C1-48a,1.732486665,0.859636364
M1,CorteMadera,T1,48,b,NA,NA,2025,NA,1,0,0,0,0,0,0,0,0,NA,#VALUE!,NA,Scarped,East.facing,"Late_Dry
(Months 1-3)",Upland,C1-48b,1.7108458216916431,0.833818182
M1,CorteMadera,T1,48,c,NA,NA,2025,NA,1,0,0,0,0,0,0,0,0,NA,#VALUE!,NA,Scarped,East.facing,"Late_Dry
(Months 1-3)",Upland,C1-48c,1.7065786131572265,0.828727273
M1,CorteMadera,T2,0.5,a,2025-07-10,2025-08-07,2025,NA,1,0,0,0,0,0,0,0,0,0,Review,Jul,Scarped,East.facing,"Late_Dry
(Months 1-3)",Edge,C2-0.5a,1.621234442468885,0.726909091
M1,CorteMadera,T2,0.5,b,2025-07-10,2025-08-07,2025,2.636638824,1,0,0,0,0,0,0,0,0,0,Review,Jul,Scarped,East.facing,"Late_Dry
(Months 1-3)",Edge,C2-0.5b,1.6392176784353567,0.748363636
M1,CorteMadera,T2,0.5,c,2025-07-10,2025-08-07,2025,2.048691832,1,0,0,0,0,0,0,0,0,0,Review,Jul,Scarped,East.facing,"Late_Dry
(Months 1-3)",Edge,C2-0.5c,1.6495808991617982,0.760727273
M1,CorteMadera,T2,2,a,2025-07-10,2025-08-07,2025,3.099339015,1,0,0,0,0,0,0,0,0,0,Review,Jul,Scarped,East.facing,"Late_Dry
(Months 1-3)",Edge,C2-2a,1.656286512573025,0.768727273
M1,CorteMadera,T2,2,b,2025-07-10,2025-08-07,2025,NA,1,0,0,0,0,0,0,0,0,0,Review,Jul,Scarped,East.facing,"Late_Dry
(Months 1-3)",Edge,C2-2b,1.6544577089154178,0.766545455
M1,CorteMadera,T2,2,c,2025-07-10,2025-08-07,2025,1.610243823,0,0,0,0,0,0,0,0,0,0,OK,Jul,Scarped,East.facing,"Late_Dry
(Months 1-3)",Edge,C2-2c,1.6556769113538228,0.768
M1,CorteMadera,T2,6,a,2025-07-10,2025-08-07,2025,2.902570735,0,0,0,0,0,0,0,0,0,0,OK,Jul,Scarped,East.facing,"Late_Dry
(Months 1-3)",Edge,C2-6a,1.6623825247650494,0.776
M1,CorteMadera,T2,6,b,2025-07-10,2025-08-07,2025,5.880817259,1,0,0,0,0,0,0,0,0,0,Review,Jul,Scarped,East.facing,"Late_Dry
(Months 1-3)",Edge,C2-6b,1.6727457454914911,0.788363636
M1,CorteMadera,T2,6,c,2025-07-10,2025-08-07,2025,2.676890709,0,0,0,0,0,0,0,0,0,0,OK,Jul,Scarped,East.facing,"Late_Dry
(Months 1-3)",Edge,C2-6c,1.6675641351282702,0.782181818
M1,CorteMadera,T2,12,a,2025-07-10,2025-08-07,2025,2.498760679,0,0,0,0,0,0,0,0,0,0,OK,Jul,Scarped,East.facing,"Late_Dry
(Months 1-3)",Platform,C2-12a,1.664820929641859,0.778909091
M1,CorteMadera,T2,12,b,2025-07-10,2025-08-07,2025,2.83295799,0,0,0,0,0,0,0,0,0,0,OK,Jul,Scarped,East.facing,"Late_Dry
(Months 1-3)",Platform,C2-12b,1.6651257302514604,0.779272727
M1,CorteMadera,T2,12,c,2025-07-10,2025-08-07,2025,3.609664055,1,0,0,0,0,0,0,0,0,0,Review,Jul,Scarped,East.facing,"Late_Dry
(Months 1-3)",Platform,C2-12c,1.6657353314706629,0.78
M1,CorteMadera,T2,24,a,2025-07-10,2025-08-07,2025,7.066030367,0,0,0,0,0,0,0,0,0,0,OK,Jul,Scarped,East.facing,"Late_Dry
(Months 1-3)",Platform,C2-24a,1.6794513589027176,0.796363636
M1,CorteMadera,T2,24,b,2025-07-10,2025-08-07,2025,6.442266496,0,0,0,0,0,0,0,0,0,0,OK,Jul,Scarped,East.facing,"Late_Dry
(Months 1-3)",Platform,C2-24b,1.6843281686563372,0.802181818
M1,CorteMadera,T2,24,c,2025-07-10,2025-08-07,2025,7.961396219,0,0,0,0,0,0,0,0,0,0,OK,Jul,Scarped,East.facing,"Late_Dry
(Months 1-3)",Platform,C2-24c,1.6751841503683007,0.791272727
M1,CorteMadera,T2,48,a,2025-07-10,2025-08-07,2025,4.841959331,0,0,0,0,0,0,0,0,0,0,OK,Jul,Scarped,East.facing,"Late_Dry
(Months 1-3)",Upland,C2-48a,1.6794513589027176,0.796363636
M1,CorteMadera,T2,48,b,2025-07-10,2025-08-07,2025,NA,1,0,0,0,0,0,0,0,0,0,Review,Jul,Scarped,East.facing,"Late_Dry
(Months 1-3)",Upland,C2-48b,1.6821945643891287,0.799636364
M1,CorteMadera,T2,48,c,2025-07-10,2025-08-07,2025,29.16061011,1,0,0,0,0,0,0,0,0,0,Review,Jul,Scarped,East.facing,"Late_Dry
(Months 1-3)",Upland,C2-48c,1.673050546101092,0.788727273
M1,SanPablo,T1,0.5,a,2025-07-11,2025-08-08,2025,NA,1,0,0,1,0,0,0,0,0,0,Review,Jul,Ramped,South.facing,"Late_Dry
(Months 1-3)",Edge,S1-0.5a,1.706273812547625,0.771628722
M1,SanPablo,T1,0.5,b,2025-07-11,2025-08-08,2025,NA,1,0,0,0,0,0,0,0,0,0,Review,Jul,Ramped,South.facing,"Late_Dry
(Months 1-3)",Edge,S1-0.5b,1.722733045466091,0.790542907
M1,SanPablo,T1,0.5,c,2025-07-11,2025-08-08,2025,NA,1,0,0,0,0,0,0,0,0,0,Review,Jul,Ramped,South.facing,"Late_Dry
(Months 1-3)",Edge,S1-0.5c,1.723037846075692,0.79089317
