Site,Tran,Dist,Replicate,Date.placed.in.field,Date.removed.from.field,Season,Month,Year,Flux,LOI,marsh_edge_type,marsh_orientation,Study.Phase,Phen_Period,Marsh_Loc,Elevation_m,z_star,Species,AvgHt,MaxHt,Cover
CorteMadera,A,12,a,2022-07-27,2022-08-24,Summer,August,2022,6.913499347,8.859859018,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.705,0.826848008,SPFO,35,47,5
CorteMadera,A,12,a,2022-07-27,2022-08-24,Summer,August,2022,6.913499347,8.859859018,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.705,0.826848008,JACA,17,25,65
CorteMadera,A,12,a,2022-07-27,2022-08-24,Summer,August,2022,6.913499347,8.859859018,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.705,0.826848008,DISP,19,24,3
CorteMadera,A,12,b,2022-07-27,2022-08-24,Summer,August,2022,7.601357925,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.705,0.826848008,SAPA,28,41,10
CorteMadera,A,12,b,2022-07-27,2022-08-24,Summer,August,2022,7.601357925,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.705,0.826848008,SPFO,35,47,5
CorteMadera,A,12,b,2022-07-27,2022-08-24,Summer,August,2022,7.601357925,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.705,0.826848008,JACA,17,25,65
CorteMadera,A,12,b,2022-07-27,2022-08-24,Summer,August,2022,7.601357925,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.705,0.826848008,DISP,19,24,3
CorteMadera,A,12,c,2022-07-27,2022-08-24,Summer,August,2022,10.09492183,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.705,0.826848008,SAPA,28,41,10
CorteMadera,A,12,c,2022-07-27,2022-08-24,Summer,August,2022,10.09492183,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.705,0.826848008,SPFO,35,47,5
CorteMadera,A,12,c,2022-07-27,2022-08-24,Summer,August,2022,10.09492183,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.705,0.826848008,JACA,17,25,65
CorteMadera,A,12,c,2022-07-27,2022-08-24,Summer,August,2022,10.09492183,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.705,0.826848008,DISP,19,24,3
CorteMadera,A,24,a,2022-07-27,2022-08-24,Summer,August,2022,11.35181035,11.41299927,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.664,0.777933667,SAPA,30,45,50
CorteMadera,A,24,a,2022-07-27,2022-08-24,Summer,August,2022,11.35181035,11.41299927,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.664,0.777933667,SPFO,61,80,20
CorteMadera,A,24,b,2022-07-27,2022-08-24,Summer,August,2022,26.38914613,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.664,0.777933667,SAPA,30,45,50
CorteMadera,A,24,b,2022-07-27,2022-08-24,Summer,August,2022,26.38914613,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.664,0.777933667,SPFO,61,80,20
CorteMadera,A,24,c,2022-07-27,2022-08-24,Summer,August,2022,15.79134639,10.29628073,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.664,0.777933667,SAPA,30,45,50
CorteMadera,A,24,c,2022-07-27,2022-08-24,Summer,August,2022,15.79134639,10.29628073,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.664,0.777933667,SPFO,61,80,20
CorteMadera,A,48,a,2022-07-27,2022-08-24,Summer,August,2022,7.269372752,7.971841705,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.724,0.849515629,JACA,11,18,10
CorteMadera,A,48,a,2022-07-27,2022-08-24,Summer,August,2022,7.269372752,7.971841705,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.724,0.849515629,DISP,18,26,95
CorteMadera,A,48,b,2022-07-27,2022-08-24,Summer,August,2022,5.47408024,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.724,0.849515629,JACA,11,18,10
CorteMadera,A,48,b,2022-07-27,2022-08-24,Summer,August,2022,5.47408024,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.724,0.849515629,DISP,18,26,95
CorteMadera,A,48,c,2022-07-27,2022-08-24,Summer,August,2022,6.2005275,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.724,0.849515629,JACA,11,18,10
CorteMadera,A,48,c,2022-07-27,2022-08-24,Summer,August,2022,6.2005275,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.724,0.849515629,DISP,18,26,95
CorteMadera,B,0.5,a,2022-07-27,2022-08-24,Summer,August,2022,NA,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.576,0.672946791,SAPA,26,50,55
CorteMadera,B,0.5,a,2022-07-27,2022-08-24,Summer,August,2022,NA,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.576,0.672946791,SPFO,47,59,10
CorteMadera,B,0.5,b,2022-07-27,2022-08-24,Summer,August,2022,0.331372654,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.576,0.672946791,SAPA,26,50,55
CorteMadera,B,0.5,b,2022-07-27,2022-08-24,Summer,August,2022,0.331372654,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.576,0.672946791,SPFO,47,59,10
CorteMadera,B,0.5,c,2022-07-27,2022-08-24,Summer,August,2022,0.129853979,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.576,0.672946791,SAPA,26,50,55
CorteMadera,B,0.5,c,2022-07-27,2022-08-24,Summer,August,2022,0.129853979,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.576,0.672946791,SPFO,47,59,10
CorteMadera,B,6,a,2022-07-27,2022-08-24,Summer,August,2022,2.764297205,6.99011267,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.672,0.787477929,SAPA,22,38,30
CorteMadera,B,6,a,2022-07-27,2022-08-24,Summer,August,2022,2.764297205,6.99011267,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.672,0.787477929,SPFO,44,54,5
CorteMadera,B,6,a,2022-07-27,2022-08-24,Summer,August,2022,2.764297205,6.99011267,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.672,0.787477929,JACA,17,25,85
CorteMadera,B,6,a,2022-07-27,2022-08-24,Summer,August,2022,2.764297205,6.99011267,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.672,0.787477929,DISP,21,30,1
CorteMadera,B,6,b,2022-07-27,2022-08-24,Summer,August,2022,4.794796925,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.672,0.787477929,SAPA,22,38,30
CorteMadera,B,6,b,2022-07-27,2022-08-24,Summer,August,2022,4.794796925,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.672,0.787477929,SPFO,44,54,5
CorteMadera,B,6,b,2022-07-27,2022-08-24,Summer,August,2022,4.794796925,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.672,0.787477929,JACA,17,25,85
CorteMadera,B,6,b,2022-07-27,2022-08-24,Summer,August,2022,4.794796925,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.672,0.787477929,DISP,21,30,1
CorteMadera,B,6,c,2022-07-27,2022-08-24,Summer,August,2022,3.024005163,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.672,0.787477929,SAPA,22,38,30
CorteMadera,B,6,c,2022-07-27,2022-08-24,Summer,August,2022,3.024005163,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.672,0.787477929,SPFO,44,54,5
CorteMadera,B,6,c,2022-07-27,2022-08-24,Summer,August,2022,3.024005163,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.672,0.787477929,JACA,17,25,85
CorteMadera,B,6,c,2022-07-27,2022-08-24,Summer,August,2022,3.024005163,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.672,0.787477929,DISP,21,30,1
CorteMadera,B,12,a,2022-07-27,2022-08-24,Summer,August,2022,9.144292705,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.664,0.777933667,SAPA,28,35,45
CorteMadera,B,12,a,2022-07-27,2022-08-24,Summer,August,2022,9.144292705,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.664,0.777933667,SPFO,35,49,15
CorteMadera,B,12,a,2022-07-27,2022-08-24,Summer,August,2022,9.144292705,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.664,0.777933667,JACA,18,27,85
CorteMadera,B,12,b,2022-07-27,2022-08-24,Summer,August,2022,6.677815737,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.664,0.777933667,SAPA,28,35,45
CorteMadera,B,12,b,2022-07-27,2022-08-24,Summer,August,2022,6.677815737,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.664,0.777933667,SPFO,35,49,15
CorteMadera,B,12,b,2022-07-27,2022-08-24,Summer,August,2022,6.677815737,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.664,0.777933667,JACA,18,27,85
CorteMadera,B,12,c,2022-07-27,2022-08-24,Summer,August,2022,9.625732457,8.495257626,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.664,0.777933667,SAPA,28,35,45
CorteMadera,B,12,c,2022-07-27,2022-08-24,Summer,August,2022,9.625732457,8.495257626,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.664,0.777933667,SPFO,35,49,15
CorteMadera,B,12,c,2022-07-27,2022-08-24,Summer,August,2022,9.625732457,8.495257626,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.664,0.777933667,JACA,18,27,85
CorteMadera,B,24,a,2022-07-27,2022-08-24,Summer,August,2022,19.5448614,10.84667357,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.642,0.751686948,SAPA,27,37,15
CorteMadera,B,24,a,2022-07-27,2022-08-24,Summer,August,2022,19.5448614,10.84667357,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.642,0.751686948,SPFO,44,60,20
CorteMadera,B,24,b,2022-07-27,2022-08-24,Summer,August,2022,26.95388844,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.642,0.751686948,SAPA,27,37,15
CorteMadera,B,24,b,2022-07-27,2022-08-24,Summer,August,2022,26.95388844,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.642,0.751686948,SPFO,44,60,20
CorteMadera,B,24,c,2022-07-27,2022-08-24,Summer,August,2022,26.96613881,12.81291173,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.642,0.751686948,SAPA,27,37,15
CorteMadera,B,24,c,2022-07-27,2022-08-24,Summer,August,2022,26.96613881,12.81291173,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.642,0.751686948,SPFO,44,60,20
CorteMadera,B,48,a,2022-07-27,2022-08-24,Summer,August,2022,6.396533506,11.60978973,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.692,0.811338583,SAPA,21,37,50
CorteMadera,B,48,a,2022-07-27,2022-08-24,Summer,August,2022,6.396533506,11.60978973,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.692,0.811338583,SPFO,26,34,5
CorteMadera,B,48,b,2022-07-27,2022-08-24,Summer,August,2022,7.124818323,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.692,0.811338583,SAPA,21,37,50
CorteMadera,B,48,b,2022-07-27,2022-08-24,Summer,August,2022,7.124818323,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.692,0.811338583,SPFO,26,34,5
CorteMadera,B,48,c,2022-07-27,2022-08-24,Summer,August,2022,7.372275905,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.692,0.811338583,SAPA,21,37,50
CorteMadera,B,48,c,2022-07-27,2022-08-24,Summer,August,2022,7.372275905,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Bay,1.692,0.811338583,SPFO,26,34,5
CorteMadera,C,0.5,a,2022-07-27,2022-08-24,Summer,August,2022,1.760991461,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Channel,1.792,0.930641852,SAPA,21,33,10
CorteMadera,C,0.5,a,2022-07-27,2022-08-24,Summer,August,2022,1.760991461,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Channel,1.792,0.930641852,JACA,13,19,10
CorteMadera,C,0.5,a,2022-07-27,2022-08-24,Summer,August,2022,1.760991461,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Channel,1.792,0.930641852,DISP,21,27,75
CorteMadera,C,0.5,b,2022-07-27,2022-08-24,Summer,August,2022,2.287757603,6.713189114,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Channel,1.792,0.930641852,SAPA,21,33,10
CorteMadera,C,0.5,b,2022-07-27,2022-08-24,Summer,August,2022,2.287757603,6.713189114,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Channel,1.792,0.930641852,JACA,13,19,10
CorteMadera,C,0.5,b,2022-07-27,2022-08-24,Summer,August,2022,2.287757603,6.713189114,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Channel,1.792,0.930641852,DISP,21,27,75
CorteMadera,C,0.5,c,2022-07-27,2022-08-24,Summer,August,2022,5.377914793,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Channel,1.792,0.930641852,SAPA,21,33,10
CorteMadera,C,0.5,c,2022-07-27,2022-08-24,Summer,August,2022,5.377914793,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Channel,1.792,0.930641852,JACA,13,19,10
CorteMadera,C,0.5,c,2022-07-27,2022-08-24,Summer,August,2022,5.377914793,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Channel,1.792,0.930641852,DISP,21,27,75
CorteMadera,C,2,a,2022-07-27,2022-08-24,Summer,August,2022,3.802516519,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Channel,1.766,0.899623002,SAPA,25,45,40
CorteMadera,C,2,b,2022-07-27,2022-08-24,Summer,August,2022,4.232504695,6.858323938,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Channel,1.766,0.899623002,SAPA,25,45,40
CorteMadera,C,2,c,2022-07-27,2022-08-24,Summer,August,2022,4.154714811,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Channel,1.766,0.899623002,SAPA,25,45,40
CorteMadera,C,6,a,2022-07-27,2022-08-24,Summer,August,2022,8.687353703,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Channel,1.796,0.935413982,SAPA,36,47,90
CorteMadera,C,6,a,2022-07-27,2022-08-24,Summer,August,2022,8.687353703,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Channel,1.796,0.935413982,SPFO,58,65,5
CorteMadera,C,6,b,2022-07-27,2022-08-24,Summer,August,2022,10.14208578,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Channel,1.796,0.935413982,SAPA,36,47,90
CorteMadera,C,6,b,2022-07-27,2022-08-24,Summer,August,2022,10.14208578,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Channel,1.796,0.935413982,SPFO,58,65,5
CorteMadera,C,6,c,2022-07-27,2022-08-24,Summer,August,2022,17.17808888,9.169108611,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Channel,1.796,0.935413982,SAPA,36,47,90
CorteMadera,C,6,c,2022-07-27,2022-08-24,Summer,August,2022,17.17808888,9.169108611,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Channel,1.796,0.935413982,SPFO,58,65,5
CorteMadera,C,12,a,2022-07-27,2022-08-24,Summer,August,2022,22.54252826,8.461039285,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Channel,1.737,0.865025054,SAPA,27,38,90
CorteMadera,C,12,a,2022-07-27,2022-08-24,Summer,August,2022,22.54252826,8.461039285,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Channel,1.737,0.865025054,SPFO,48,52,10
CorteMadera,C,12,b,2022-07-27,2022-08-24,Summer,August,2022,22.58969221,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Channel,1.737,0.865025054,SAPA,27,38,90
CorteMadera,C,12,b,2022-07-27,2022-08-24,Summer,August,2022,22.58969221,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Channel,1.737,0.865025054,SPFO,48,52,10
CorteMadera,C,12,c,2022-07-27,2022-08-24,Summer,August,2022,21.75605416,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Channel,1.737,0.865025054,SAPA,27,38,90
CorteMadera,C,12,c,2022-07-27,2022-08-24,Summer,August,2022,21.75605416,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Channel,1.737,0.865025054,SPFO,48,52,10
CorteMadera,C,24,a,2022-07-27,2022-08-24,Summer,August,2022,9.39052525,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Channel,1.713,0.836392269,SAPA,33,42,40
CorteMadera,C,24,a,2022-07-27,2022-08-24,Summer,August,2022,9.39052525,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Channel,1.713,0.836392269,SPFO,53,61,20
CorteMadera,C,24,b,2022-07-27,2022-08-24,Summer,August,2022,9.14674278,7.82269276,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Channel,1.713,0.836392269,SAPA,33,42,40
CorteMadera,C,24,b,2022-07-27,2022-08-24,Summer,August,2022,9.14674278,7.82269276,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Channel,1.713,0.836392269,SPFO,53,61,20
CorteMadera,C,24,c,2022-07-27,2022-08-24,Summer,August,2022,11.83202506,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Channel,1.713,0.836392269,SAPA,33,42,40
CorteMadera,C,24,c,2022-07-27,2022-08-24,Summer,August,2022,11.83202506,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Channel,1.713,0.836392269,SPFO,53,61,20
CorteMadera,C,48,a,2022-07-27,2022-08-24,Summer,August,2022,14.23003604,8.968844672,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Channel,1.73,0.856673825,SAPA,23,31,20
CorteMadera,C,48,a,2022-07-27,2022-08-24,Summer,August,2022,14.23003604,8.968844672,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Channel,1.73,0.856673825,SPFO,37,49,45
CorteMadera,C,48,b,2022-07-27,2022-08-24,Summer,August,2022,10.66701436,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Channel,1.73,0.856673825,SAPA,23,31,20
CorteMadera,C,48,b,2022-07-27,2022-08-24,Summer,August,2022,10.66701436,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Channel,1.73,0.856673825,SPFO,37,49,45
CorteMadera,C,48,c,2022-07-27,2022-08-24,Summer,August,2022,8.96727478,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Channel,1.73,0.856673825,SAPA,23,31,20
CorteMadera,C,48,c,2022-07-27,2022-08-24,Summer,August,2022,8.96727478,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Channel,1.73,0.856673825,SPFO,37,49,45
CorteMadera,D,0.5,a,2022-07-27,2022-08-24,Summer,August,2022,4.169415262,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Channel,1.842,0.990293486,SAPA,30,44,35
CorteMadera,D,0.5,a,2022-07-27,2022-08-24,Summer,August,2022,4.169415262,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Channel,1.842,0.990293486,DISP,24,31,62
CorteMadera,D,0.5,b,2022-07-27,2022-08-24,Summer,August,2022,3.56302168,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Channel,1.842,0.990293486,SAPA,30,44,35
CorteMadera,D,0.5,b,2022-07-27,2022-08-24,Summer,August,2022,3.56302168,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Channel,1.842,0.990293486,DISP,24,31,62
CorteMadera,D,0.5,c,2022-07-27,2022-08-24,Summer,August,2022,4.837673239,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Channel,1.842,0.990293486,SAPA,30,44,35
CorteMadera,D,0.5,c,2022-07-27,2022-08-24,Summer,August,2022,4.837673239,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Channel,1.842,0.990293486,DISP,24,31,62
CorteMadera,D,2,a,2022-07-27,2022-08-24,Summer,August,2022,13.36087191,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Channel,1.829,0.974784061,SAPA,19,22,15
CorteMadera,D,2,a,2022-07-27,2022-08-24,Summer,August,2022,13.36087191,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Channel,1.829,0.974784061,DISP,12,18,70
CorteMadera,D,2,b,2022-07-27,2022-08-24,Summer,August,2022,6.038210026,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Channel,1.829,0.974784061,SAPA,19,22,15
CorteMadera,D,2,b,2022-07-27,2022-08-24,Summer,August,2022,6.038210026,NA,Scarped,East.facing,M2,"Late_Dry
(Months 1-3)",Channel,1.829,0.974784061,DISP,12,18,70
