Season,Study Phase,Site ,Tran,Dist ,Date Measured,Total Percent Covered (%),Percent Covered (%),Percent Covered (Species),"Average Height Total (cm, calc. post field)",Average Height Total (species),Average Height (cm) Q1 ,Average Height (species) Q1 ,Average Height (cm) Q2,Average Height (species) Q2,Average Height (cm) Q3 ,Average Height (species) Q3 ,Average Height (cm) Q4,Average Height (species) Q4,Maximum Height (cm),Maximum Height (Species),Photo Timestamp,Notes
Winter,M7,B,1,24,2/21/2026,,35,JACA,12,JACA,11.5,,14,,9,,15,,15,JACA,,
Winter,M7,B,1,24,2/21/2026,,15,DISP,NA,,,,,,,,,,0,,,
Winter,M7,B,1,24,2/21/2026,,20,LICA,NA,,,,,,,,,,0,,,
Winter,M7,B,1,24,2/21/2026,,35,Uncovered,NA,,,,,,,,,,0,,,
Winter,M7,B,1,24,2/21/2026,190,55,TRIG,13,Trig,12,,11,,18.5,,12,,18.5,Trig,,
Winter,M7,B,1,48,2/21/2026,,70,SAPA,36,SAPA,32,SAPA,37.5,SAPA,38,SAPA,37.5,SAPA,38,SAPA,8:16 AM,
Winter,M7,B,1,48,2/21/2026,,20,JACA,NA,,,,,,,,,,0,,,
Winter,M7,B,1,48,2/21/2026,,10,Uncovered,NA,,,,,,,,,,0,,,
Winter,M7,B,1,48,2/21/2026,105,5,DISP,NA,,,,,,,,,,0,,,
Winter,M7,B,2,0.5,2/21/2026,,10,SPFO,66,SPFO,75,,42,,73,,74,,75,,,
Winter,M7,B,2,0.5,2/21/2026,,40,SAPA,40,SAPA,30,SAPA,59,SAPA,39.5,SAPA,33,SAPA,59,SAPA,10:27 am (after survey),
Winter,M7,B,2,0.5,2/21/2026,,10,DISP,NA,,,,,,,,,,0,,,
Winter,M7,B,2,0.5,2/21/2026,,60,JACA,26,JACA,21,,30,,32,,22,,32,,,
Winter,M7,B,2,0.5,2/21/2026,125,5,Uncovered,NA,,,,,,,,,,0,,,
Winter,M7,B,2,2,2/21/2026,,80,SAPA,35,SAPA,37.5,SAPA,40,SAPA,28,SAPA,36,SAPA,40,SAPA,10:32 AM,
Winter,M7,B,2,2,2/21/2026,,20,DISP,NA,,,,,,,,,,0,,,
Winter,M7,B,2,2,2/21/2026,,15,JACA,NA,,,,,,,,,,0,,,
Winter,M7,B,2,2,2/21/2026,120,5,Uncovered,NA,,,,,,,,,,0,,,
Winter,M7,B,2,6,2/21/2026,,80,SAPA,37,SAPA,33.5,SAPA,42,SAPA,39,SAPA,33,SAPA,42,SAPA,10:44 AM,
Winter,M7,B,2,6,2/21/2026,,10,DISP,NA,,,,,,,,,,0,,,
Winter,M7,B,2,6,2/21/2026,,20,Uncovered,NA,,,,,,,,,,0,,,
Winter,M7,B,2,6,2/21/2026,115,5,JACA,NA,,,,,,,,,,0,,,
Winter,M7,B,2,12,2/21/2026,,75,SAPA,32,SAPA,35,SAPA,28,SAPA,33,SAPA,33,SAPA,35,SAPA,10:53 AM,
Winter,M7,B,2,12,2/21/2026,,10,JACA,NA,,,,,,,,,,0,,,
Winter,M7,B,2,12,2/21/2026,,25,DISP,NA,,,,,,,,,,0,,,
Winter,M7,B,2,12,2/21/2026,125,15,Uncovered,NA,,,,,,,,,,0,,,
Winter,M7,B,2,18,2/21/2026,,10,DISP,NA,,,,,,,,,,0,,,
Winter,M7,B,2,18,2/21/2026,,40,Trig,16,Trig,12,,18,,11,,24,,24,,11:04 AM,
Winter,M7,B,2,18,2/21/2026,,20,SAPA,25,SAPA,17,SAPA,26,SAPA,29,SAPA,27,SAPA,29,SAPA,,
Winter,M7,B,2,18,2/21/2026,,30,JACA,NA,,,,,,,,,,0,,,
Winter,M7,B,2,18,2/21/2026,140,40,Uncovered,NA,,,,,,,,,,0,,,
Winter,M7,B,2,24,2/21/2026,,65,SAPA,42,SAPA,55,SAPA,43,SAPA,39,SAPA,32,SAPA,55,SAPA,11:16 AM,
Winter,M7,B,2,24,2/21/2026,,25,JACA,NA,,,,,,,,,,0,,,
Winter,M7,B,2,24,2/21/2026,,20,DISP,NA,,,,,,,,,,0,,,
Winter,M7,B,2,24,2/21/2026,120,10,Uncovered,NA,,,,,,,,,,0,,,
Winter,M7,B,2,48,2/21/2026,,70,SAPA,38,SAPA,37.5,SAPA,34,SAPA,40,SAPA,42,SAPA,42,SAPA,11:26:00 AM; took pic ater survey 11:31 AM!,
Winter,M7,B,2,48,2/21/2026,,20,DISP,NA,,,,,,,,,,0,,,
Winter,M7,B,2,48,2/21/2026,,25,JACA,NA,,,,,,,,,,0,,,
Winter,M7,B,2,48,2/21/2026,130,15,Uncovered,NA,,,,,,,,,,0,,,
Winter,M7,G,1,0.5,2/20/2026,,10,Marsh Edge Pieces hard to tell intertwined,NA,,,,,,,,,,0,,,
Winter,M7,G,1,0.5,2/20/2026,,60,DISP,15,Distch,18,,13,,10,,20.5,,20.5,,10:33 AM,
Winter,M7,G,1,0.5,2/20/2026,,40,SAPA,26,SAPA,28,SAPA,21.5,SAPA,29,SAPA,26.5,SAPA,29,SAPA,,
Winter,M7,G,1,0.5,2/20/2026,125,15,Uncovered,NA,,,,,,,,,,0,,,
Winter,M7,G,1,2,2/20/2026,,15,DISP,NA,,,,,,,,,,0,,,
Winter,M7,G,1,2,2/20/2026,,50,SAPA,29,SAPA,31,SAPA,29,SAPA,28,SAPA,27.5,SAPA,31,SAPA,10:53 AM,
Winter,M7,G,1,2,2/20/2026,100,35,Uncovered,NA,,,,,,,,,,0,,,
Winter,M7,G,1,6,2/20/2026,,80,SAPA,39,SAPA,42.5,SAPA,39,SAPA,40,SAPA,35,SAPA,42.5,SAPA,11:05 AM,
Winter,M7,G,1,6,2/20/2026,,5,Debris on top,NA,,,,,,,,,,0,,,
Winter,M7,G,1,6,2/20/2026,105,20,Uncovered,NA,,,,,,,,,,0,,,
Winter,M7,G,1,12,2/20/2026,,60,SAPA,51,SAPA,44,SAPA,71,SAPA,48.5,SAPA,41.5,SAPA,71,SAPA,11:15 AM,
Winter,M7,G,1,12,2/20/2026,100,40,Uncovered,NA,,,,,,,,,,0,,,
Winter,M7,G,1,18,2/20/2026,,80,SAPA,38,SAPA,33,SAPA,32,SAPA,42,SAPA,44,SAPA,44,SAPA,11:25 AM,
Winter,M7,G,1,18,2/20/2026,100,20,Uncovered,NA,,,,,,,,,,0,,,
Winter,M7,G,1,24,2/20/2026,,15,Uncovered,NA,,,,,,,,,,0,,,
Winter,M7,G,1,24,2/20/2026,,85,SAPA,36,SAPA,33,SAPA,35,SAPA,37,SAPA,38,SAPA,38,SAPA,11:34 AM,
Winter,M7,G,1,24,2/20/2026,140,40,JACA,NA,,,,,,,,,,0,,,
Winter,M7,G,1,48,2/20/2026,,40,LICA,NA,,,,,,,,,,0,,,
Winter,M7,G,1,48,2/20/2026,,10,GRST,NA,,,,,,,,,,0,,,
Winter,M7,G,1,48,2/20/2026,,45,SAPA,36,SAPA,45,SAPA,42,SAPA,29,SAPA,28.5,SAPA,45,SAPA,11:44 AM,
Winter,M7,G,1,48,2/20/2026,,40,JACA,NA,,,,,,,,,,0,,,
Winter,M7,G,1,48,2/20/2026,145,10,Uncovered,NA,,,,,,,,,,0,,,
Winter,M7,G,2,0.5,2/20/2026,,30,Marsh Edge   ,NA,,,,,,,,,,0,,,
Winter,M7,G,2,0.5,2/20/2026,,10,SAPA,28,SAPA,28,SAPA,NA,SAPA,NA,SAPA,NA,SAPA,28,SAPA,10:07 AM; unusual/weird,
Winter,M7,G,2,0.5,2/20/2026,55,15,Uncovered,NA,,,,,,,,,,0,,,
Winter,M7,G,2,2,2/20/2026,,50,SAPA,NA,,,,,,,,,,0,,,
Winter,M7,G,2,2,2/20/2026,,50,Uncovered,NA,,,,,,,,,,0,,,
Winter,M7,G,2,2,2/20/2026,105,5,Pieces of edge ,NA,,,,,,,,,,0,,,
Winter,M7,G,2,6,2/20/2026,,90,SAPA,33,SAPA,32.5,SAPA,31,SAPA,32,SAPA,37.5,SAPA,37.5,SAPA,9:35 AM,
Winter,M7,G,2,6,2/20/2026,,20,Pieces of edge on top (upper story),NA,,,,,,,,,,0,,,
Winter,M7,G,2,6,2/20/2026,,15,Debris on top ,NA,,,,,,,,,,0,,,
Winter,M7,G,2,6,2/20/2026,130,5,Uncovered,NA,,,,,,,,,,0,,,
Winter,M7,G,2,12,2/20/2026,,90,SAPA,39,SAPA,36,SAPA,33,SAPA,43,SAPA,45.5,SAPA,45.5,SAPA,9:21 AM,
Winter,M7,G,2,12,2/20/2026,100,10,Uncovered,NA,,,,,,,,,,0,,,
Winter,M7,G,2,18,2/20/2026,,75,SAPA,37,SAPA,43,SAPA,37,SAPA,31,SAPA,38,SAPA,43,SAPA,9:10 AM,
Winter,M7,G,2,18,2/20/2026,100,25,Uncovered,NA,,,,,,,,,,0,,,
Winter,M7,G,2,24,2/20/2026,,70,SAPA,41,SAPA,37,SAPA,38,SAPA,46,SAPA,43.5,SAPA,46,SAPA,8:54 AM,
Winter,M7,G,2,24,2/20/2026,105,35,Uncovered,NA,,,,,,,,,,0,,,
Winter,M7,G,2,48,2/20/2026,,90,SAPA,37,SAPA,26,SAPA,43,SAPA,39.5,SAPA,38,SAPA,43,SAPA,8:34 AM; top NW corner looks like channel coming through mostly northside; 8:39 AM adjust new pic ,
Winter,M7,G,2,48,2/20/2026,100,10,Uncovered,NA,,,,,,,,,,0,,,
Winter,M7,C,1,0.5,2/7/2026,,55,DISP,14,DISP,15,,13.5,,13,,16,,16,,,
Winter,M7,C,1,0.5,2/7/2026,,70,JACA,NA,,,,,,,,,,0,,,
Winter,M7,C,1,0.5,2/7/2026,,15,SAPA,22,SAPA,25,SAPA,24,SAPA,22,SAPA,15,SAPA,25,SAPA,11:12:00 AM; confusing if it's distch/jaumea for cover eta,
Winter,M7,C,1,0.5,2/7/2026,150,10,Uncovered,NA,,,,,,,,,,0,,,
Winter,M7,C,1,2,2/7/2026,,40,DISP,21,,16,,24,,22,,,,24,,,
Winter,M7,C,1,2,2/7/2026,,10,SAPA,NA,35,,,,,,,,,0,,,
Winter,M7,C,1,2,2/7/2026,,70,JACA,15,JACA,17,,12,,17.5,,14,,17.5,,10:52:00 AM; moved quad before measuring ,
Winter,M7,C,1,2,2/7/2026,125,5,Uncovered,NA,,,,,,,,,,0,,,
Winter,M7,C,1,6,2/7/2026,,90,DISP,25,DISP,31,,22,,22,,23,,31,,,
Winter,M7,C,1,6,2/7/2026,,10,Uncovered,NA,,,,,,,,,,0,,,
Winter,M7,C,1,6,2/7/2026,,15,SAPA,31,SAPA,,SAPA,,SAPA,30.5,SAPA,,SAPA,30.5,SAPA,10:39:00 AM; took pic density packed everything mixed together ,
Winter,M7,C,1,6,2/7/2026,120,5,JACA,NA,,,,,,,,,,0,,,
Winter,M7,C,1,12,2/7/2026,,50,SAPA,53,SAPA,49,SAPA,62,SAPA,52,SAPA,48,SAPA,62,SAPA,10:24 AM,
Winter,M7,C,1,12,2/7/2026,,15,SPFO?,81,SPFO,59.5,,98,,85,,NA,,98,,,
Winter,M7,C,1,12,2/7/2026,,5,Debris on top ,NA,,,,,,,,,,0,,,
Winter,M7,C,1,12,2/7/2026,120,50,Uncovered,NA,,,,,,,,,,0,,,
Winter,M7,C,1,18,2/7/2026,,65,SAPA,46,SAPA,48,SAPA,43,SAPA,45,SAPA,47,SAPA,48,SAPA,10:08:00 AM; stepped into transect-might have impact,
Winter,M7,C,1,18,2/7/2026,,10,DISP,NA,,,,,,,,,,0,,,
Winter,M7,C,1,18,2/7/2026,,30,SPFO,73,SPFO,81,,78,,61.5,,71.5,,81,,,
Winter,M7,C,1,18,2/7/2026,170,65,Uncovered,NA,,,,,,,,,,0,,,
Winter,M7,C,1,24,2/7/2026,,70,SAPA,46,SAPA,41,SAPA,45,SAPA,41.5,SAPA,56,SAPA,56,SAPA,9:47 AM,
Winter,M7,C,1,24,2/7/2026,,35,JACA,NA,,,,,,,,,,0,,,
Winter,M7,C,1,24,2/7/2026,,30,SPFO,68,SPFO,74,,60,,70,,66,,74,,,
Winter,M7,C,1,24,2/7/2026,,25,Uncovered,NA,,,,,,,,,,0,,,
Winter,M7,C,1,24,2/7/2026,195,35,Debris on top ,NA,,,,,,,,,,0,,,
Winter,M7,C,1,48,2/7/2026,,15,Uncovered,NA,,,,,,,,,,0,,,
Winter,M7,C,1,48,2/7/2026,,75,DISP,34,DISP,33,,39,,33.5,,32,,39,,9:30 AM,
Winter,M7,C,1,48,2/7/2026,105,15,SAPA,NA,,,,,,,,,,0,,,
Winter,M7,C,2,0.5,2/7/2026,,55,SAPA,35,SAPA,37.5,SAPA,39,SAPA,25.5,SAPA,37,SAPA,39,SAPA,11:41 AM,
Winter,M7,C,2,0.5,2/7/2026,,50,JACA,NA,,,,,,,,,,0,,,
Winter,M7,C,2,0.5,2/7/2026,,35,DISP,NA,,,,,,,,,,0,,,
Winter,M7,C,2,0.5,2/7/2026,165,25,Uncovered,NA,,,,,,,,,,0,,,
Winter,M7,C,2,2,2/7/2026,,30,SAPA,32,SAPA,31.5,SAPA,NA,SAPA,NA,SAPA,NA,SAPA,31.5,SAPA,11:58:00 AM; pic taken after cover measurements,
Winter,M7,C,2,2,2/7/2026,,60,JACA,13,JACA,15,,12,,13,,11,,15,,,
Winter,M7,C,2,2,2/7/2026,,40,DISP,21,DISP,NA,,20,,28,,16,,28,,,
Winter,M7,C,2,2,2/7/2026,140,10,Uncovered,NA,,,,,,,,,,0,,,
Winter,M7,C,2,6,2/7/2026,,45,SAPA,48,SAPA,38,SAPA,47,SAPA,57,SAPA,51,SAPA,57,SAPA,12:04 PM,
Winter,M7,C,2,6,2/7/2026,,30,JACA,NA,,,,,,,,,,0,,,
Winter,M7,C,2,6,2/7/2026,,30,DISP,NA,,,,,,,,,,0,,,
Winter,M7,C,2,6,2/7/2026,,20,SPFO,70,SPFO,66,,NA,,81,,63,,81,,,
Winter,M7,C,2,6,2/7/2026,155,30,Uncovered,NA,,,,,,,,,,0,,,
Winter,M7,C,2,12,2/7/2026,,70,Uncovered,NA,,,,,,,,,,0,,12:16 PM,
Winter,M7,C,2,12,2/7/2026,,50,SAPA,45,SAPA,55,SAPA,26,SAPA,42.5,SAPA,57,SAPA,57,SAPA,,
Winter,M7,C,2,12,2/7/2026,,30,JACA,NA,,,,,,,,,,0,,,
Winter,M7,C,2,12,2/7/2026,,20,DISP,NA,,,,,,,,,,0,,,
Winter,M7,C,2,12,2/7/2026,185,15,SPFO,55,SPFO,NA,,46.5,,59.5,,59.5,,59.5,,,
Winter,M7,C,2,18,2/7/2026,,60,Uncovered,NA,,,,,,,,,,0,,12:26 PM,
Winter,M7,C,2,18,2/7/2026,,45,SAPA,48,SAPA,42.5,SAPA,50,SAPA,55,SAPA,44,SAPA,55,SAPA,,
Winter,M7,C,2,18,2/7/2026,,40,SPFO,66,SPFO,58.5,,68,,70,,66,,70,,,
Winter,M7,C,2,18,2/7/2026,,35,JACA,NA,,,,,,,,,,0,,,
Winter,M7,C,2,18,2/7/2026,190,10,Debris on top,NA,,,,,,,,,,0,,,
Winter,M7,C,2,24,2/7/2026,,30,Uncovered,NA,,,,,,,,,,0,,,
Winter,M7,C,2,24,2/7/2026,,15,SPFO,60,SPFO,NA,,NA,,55,,65,,65,,,
Winter,M7,C,2,24,2/7/2026,,45,SAPA,42,SAPA,52,SAPA,33,SAPA,41,SAPA,40,SAPA,52,SAPA,12:38 PM,
Winter,M7,C,2,24,2/7/2026,,25,DISP,NA,,,,,,,,,,0,,,
Winter,M7,C,2,24,2/7/2026,140,25,JACA,NA,,,,,,,,,,0,,,
Winter,M7,C,2,48,2/7/2026,,5,Uncovered,NA,,,,,,,,,,0,,12:52:00 PM; during placement some pooling on filters,
Winter,M7,C,2,48,2/7/2026,,10,JACA,NA,,,,,,,,,,0,,,
Winter,M7,C,2,48,2/7/2026,,95,DISP,34,DISP,37,,28.5,,28,,44,,44,,,
Winter,M7,C,2,48,2/7/2026,115,5,SPFO,58,SPFO,57.5,,NA,,NA,,NA,,57.5,,,
Winter,M7,S,1,0.5,2/6/2026,,65,SAPA,57,SAPA,50,SAPA,48.5,SAPA,66,SAPA,63.5,SAPA,66,SAPA,Time before 12:29 pm-no timestamp in notes,
Winter,M7,S,1,0.5,2/6/2026,,20,SPFO,NA,,,,,,,,,,0,,,
Winter,M7,S,1,0.5,2/6/2026,105,20,Uncovered,NA,,,,,,,,,,0,,,
Winter,M7,S,1,2,2/6/2026,,60,algae on bottom half,NA,,,,,,,,,,0,,,
Winter,M7,S,1,2,2/6/2026,,70,SAPA,53,SAPA,53,SAPA,62.5,SAPA,48,SAPA,48,SAPA,62.5,SAPA,12:29 PM,
Winter,M7,S,1,2,2/6/2026,180,50,Uncovered,NA,,,,,,,,,,0,,,
Winter,M7,S,1,6,2/6/2026,,50,Uncovered ,NA,,,,,,,,,,0,,,
Winter,M7,S,1,6,2/6/2026,100,50,SAPA,60,SAPA,59.5,SAPA,61,SAPA,63,SAPA,57,SAPA,63,SAPA,12:37 PM,
Winter,M7,S,1,12,2/6/2026,,65,SAPA,50,SAPA,50,SAPA,49,SAPA,51,SAPA,48,SAPA,51,SAPA,12:46 PM,
Winter,M7,S,1,12,2/6/2026,100,35,Uncovered,NA,,,,,,,,,,0,,,
Winter,M7,S,1,18,2/6/2026,,80,SAPA,63,SAPA,65.5,SAPA,66.5,SAPA,58.5,SAPA,61,SAPA,66.5,SAPA,12:54 PM,
Winter,M7,S,1,18,2/6/2026,,20,Uncovered,NA,,,,,,,,,,0,,,
Winter,M7,S,1,18,2/6/2026,100,>5,Algae,NA,,,,,,,,,,0,,,
Winter,M7,S,1,24,2/6/2026,,15,Debris on top ,NA,,,,,,,,,,0,,,
Winter,M7,S,1,24,2/6/2026,,85,SAPA,57,SAPA,57,SAPA,55.5,SAPA,60,SAPA,57,SAPA,60,,1:03 PM,
Winter,M7,S,1,24,2/6/2026,115,15,Uncovered,NA,,,,,,,,,,0,,,
Winter,M7,S,1,48,2/6/2026,,90,SAPA,56,SAPA,61.5,SAPA,50,SAPA,,,,,61.5,,,
Winter,M7,S,1,48,2/6/2026,100,10,Uncovered,NA,,,,,,,,,,0,,,
Winter,M7,S,2,0.5,2/6/2026,,50,Uncovered,NA,,,,,,,,,,0,,,
Winter,M7,S,2,0.5,2/6/2026,,5,SAPA,NA,,,,,,,,,,0,,,
Winter,M7,S,2,0.5,2/6/2026,,65,SAPA,52,SAPA,50,SAPA,47,SAPA,62,SAPA,49,SAPA,62,SAPA,,
Winter,M7,S,2,0.5,2/6/2026,200,80,Algae on Pickleweed (bottom half),NA,,,,,,,,,,0,,,
Winter,M7,S,2,2,2/6/2026,,20,SPFO,70,SPFO,NA,,79,,60.5,,NA,,79,,,
Winter,M7,S,2,2,2/6/2026,,35,SAPA,55,SAPA,65.5,SAPA,54,SAPA,50,SAPA,49,SAPA,65.5,SAPA,,
Winter,M7,S,2,2,2/6/2026,,50,Uncovered ,NA,,,,,,,,,,0,,,
Winter,M7,S,2,2,2/6/2026,110,5,SAPA,NA,,,,,,,,,,0,,,
Winter,M7,S,2,6,2/6/2026,,35,Uncovered,NA,,,,,,,,,,0,,,
Winter,M7,S,2,6,2/6/2026,,65,SAPA,52,SAPA,50,SAPA,47,SAPA,62,SAPA,49,SAPA,62,SAPA,,
Winter,M7,S,2,6,2/6/2026,180,80,Algae on pickle (bottom half),NA,,,,,,,,,,0,,,
Winter,M7,S,2,12,2/6/2026,,5,Bamboo Debris on Top ,NA,,,,,,,,,,0,,,
Winter,M7,S,2,12,2/6/2026,,75,SAPA,54,SAPA,54.5,SAPA,53,SAPA,53,SAPA,57,SAPA,57,SAPA,,
Winter,M7,S,2,12,2/6/2026,105,25,Uncovered,NA,,,,,,,,,,0,,,
Winter,M7,S,2,18,2/6/2026,,10,Uncovered,NA,,,,,,,,,,0,,,
Winter,M7,S,2,18,2/6/2026,100,90,SAPA,65,SAPA,64.5,SAPA,61.5,SAPA,68.5,SAPA,64,SAPA,68.5,SAPA,,
Winter,M7,S,2,24,2/6/2026,,10,Debris on top ,NA,,,,,,,,,,0,,,
Winter,M7,S,2,24,2/6/2026,80,70,SAPA,57,SAPA,57.5,SAPA,55,SAPA,62.5,SAPA,51,SAPA,62.5,SAPA,,
Winter,M7,S,2,48,2/6/2026,,75,SAPA,#DIV/0!,SAPA,19.5 inches,SAPA,16.5 inches,SAPA,18.5 inches,SAPA,19.5 inches,SAPA,0,SAPA,,
Winter,M7,S,2,48,2/6/2026,100,25,Uncovered,NA,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,
