Site,Tran,Dist,Replicate,Date placed in field,Date removed from field,Season ,Year ,Flux
Corte Madera,A,48,b,7/18/2023,8/15/2023,Summer ,2023,4.874418035
Corte Madera,B,48,b,7/18/2023,8/15/2023,Summer ,2023,6.34954668
Corte Madera,B,48,c,7/18/2023,8/15/2023,Summer ,2023,6.259495222
Corte Madera,B,48,a,7/18/2023,8/15/2023,Summer ,2023,5.941558442
Corte Madera,C,48,a,7/18/2023,8/15/2023,Summer ,2023,8.615535408
Corte Madera,C,48,b,7/18/2023,8/15/2023,Summer ,2023,6.589683901
Corte Madera,C,48,c,7/18/2023,8/15/2023,Summer ,2023,5.474761088
Corte Madera,D,48,b,7/18/2023,8/15/2023,Summer ,2023,7.23903455
Corte Madera,D,48,c,7/18/2023,8/15/2023,Summer ,2023,4.374540554
Corte Madera,D,48,a,7/18/2023,8/15/2023,Summer ,2023,3.923670669
San Pablo,C,0.5,a,6/21/2023,7/20/2023,Summer ,2023,54.04367155
San Pablo,C,0.5,c,6/21/2023,7/20/2023,Summer ,2023,23.08638156
San Pablo,C,0.5,b,6/21/2023,7/20/2023,Summer ,2023,12.05622805
San Pablo,D,0.5,a,6/21/2023,7/20/2023,Summer ,2023,0
San Pablo,D,0.5,b,6/21/2023,7/20/2023,Summer ,2023,26.71283062
San Pablo,D,0.5,c,6/21/2023,7/20/2023,Summer ,2023,14.52945212
San Pablo,C,2,c,6/21/2023,7/20/2023,Summer ,2023,20.27132979
San Pablo,C,2,a,6/21/2023,7/20/2023,Summer ,2023,6.938274675
San Pablo,C,2,b,6/21/2023,7/20/2023,Summer ,2023,3.105427917
San Pablo,D,2,c,6/21/2023,7/20/2023,Summer ,2023,13.31767878
San Pablo,D,2,b,6/21/2023,7/20/2023,Summer ,2023,5.392953185
San Pablo,D,2,a,6/21/2023,7/20/2023,Summer ,2023,2.634084163
San Pablo,C,6,b,6/21/2023,7/20/2023,Summer ,2023,0
San Pablo,C,6,c,6/21/2023,7/20/2023,Summer ,2023,2.032632975
San Pablo,C,6,a,6/21/2023,7/20/2023,Summer ,2023,0.835644572
San Pablo,D,6,c,6/21/2023,7/20/2023,Summer ,2023,2.144407089
San Pablo,D,6,b,6/21/2023,7/20/2023,Summer ,2023,0.974031571
San Pablo,D,6,a,6/21/2023,7/20/2023,Summer ,2023,0.655268355
San Pablo,C,12,c,6/21/2023,7/20/2023,Summer ,2023,3.301771864
San Pablo,C,12,b,6/21/2023,7/20/2023,Summer ,2023,1.916719078
San Pablo,C,12,a,6/21/2023,7/20/2023,Summer ,2023,1.81499872
San Pablo,D,12,c,6/21/2023,7/20/2023,Summer ,2023,3.661341503
San Pablo,D,12,a,6/21/2023,7/20/2023,Summer ,2023,3.195320327
San Pablo,D,12,b,6/21/2023,7/20/2023,Summer ,2023,0.953924058
San Pablo,C,24,c,6/21/2023,7/20/2023,Summer ,2023,309.9366093
San Pablo,C,24,a,6/21/2023,7/20/2023,Summer ,2023,80.48382327
San Pablo,C,24,b,6/21/2023,7/20/2023,Summer ,2023,67.28565146
San Pablo,D,24,c,6/21/2023,7/20/2023,Summer ,2023,395.2693448
San Pablo,D,24,c,6/21/2023,7/20/2023,Summer ,2023,377.3239811
San Pablo,D,24,a,6/21/2023,7/20/2023,Summer ,2023,326.6660599
San Pablo,D,24,b,6/21/2023,7/20/2023,Summer ,2023,326.6660599
San Pablo,C,48,b,6/21/2023,7/20/2023,Summer ,2023,19.54036256
San Pablo,C,48,a,6/21/2023,7/20/2023,Summer ,2023,5.272650497
San Pablo,C,48,c,6/21/2023,7/20/2023,Summer ,2023,4.025593038
San Pablo,D,48,c,6/21/2023,7/20/2023,Summer ,2023,19.74581403
San Pablo,D,48,b,6/21/2023,7/20/2023,Summer ,2023,14.22330538
San Pablo,D,48,a,6/21/2023,7/20/2023,Summer ,2023,9.892896247
San Pablo,C,72,b,6/21/2023,7/20/2023,Summer ,2023,21.4884257
San Pablo,C,72,a,6/21/2023,7/20/2023,Summer ,2023,17.60412737
San Pablo,C,72,c,6/21/2023,7/20/2023,Summer ,2023,11.97284102
San Pablo,D,72,b,6/21/2023,7/20/2023,Summer ,2023,19.27305092
San Pablo,D,72,c,6/21/2023,7/20/2023,Summer ,2023,17.10439654
San Pablo,D,72,a,6/21/2023,7/20/2023,Summer ,2023,16.47928945
San Pablo,C,150,a,6/21/2023,7/20/2023,Summer ,2023,5.278222083
San Pablo,C,150,c,6/21/2023,7/20/2023,Summer ,2023,4.078276693
San Pablo,C,150,b,6/21/2023,7/20/2023,Summer ,2023,4.025050924
San Pablo,D,150,c,6/21/2023,7/20/2023,Summer ,2023,4.591018267
San Pablo,D,150,b,6/21/2023,7/20/2023,Summer ,2023,4.091287436
San Pablo,D,150,a,6/21/2023,7/20/2023,Summer ,2023,3.915642399
San Pablo,A,0.5,c,6/21/2023,7/19/2023,Summer ,2023,14.16265898
San Pablo,A,0.5,b,6/21/2023,7/19/2023,Summer ,2023,10.01284432
San Pablo,A,0.5,a,6/21/2023,7/19/2023,Summer ,2023,6.418584182
San Pablo,B,0.5,b,6/21/2023,7/19/2023,Summer ,2023,6.70830556
San Pablo,B,0.5,a,6/21/2023,7/19/2023,Summer ,2023,4.760495874
San Pablo,B,0.5,c,6/21/2023,7/19/2023,Summer ,2023,2.268157002
San Pablo,A,2,a,6/21/2023,7/19/2023,Summer ,2023,14.80702873
San Pablo,A,2,b,6/21/2023,7/19/2023,Summer ,2023,12.71956476
San Pablo,A,2,c,6/21/2023,7/19/2023,Summer ,2023,2.898438816
San Pablo,B,2,a,6/21/2023,7/19/2023,Summer ,2023,18.86864068
San Pablo,B,2,b,6/21/2023,7/19/2023,Summer ,2023,18.15873143
San Pablo,B,2,c,6/21/2023,7/19/2023,Summer ,2023,17.58357631
San Pablo,A,6,a,6/21/2023,7/19/2023,Summer ,2023,0
San Pablo,A,6,c,6/21/2023,7/19/2023,Summer ,2023,113.6773584
San Pablo,A,6,b,6/21/2023,7/19/2023,Summer ,2023,2.777772618
San Pablo,B,6,a,6/21/2023,7/19/2023,Summer ,2023,0
San Pablo,B,6,c,6/21/2023,7/19/2023,Summer ,2023,3.264112521
San Pablo,B,6,b,6/21/2023,7/19/2023,Summer ,2023,0.493690128
San Pablo,A,9,c,6/21/2023,7/19/2023,Summer ,2023,9.96261778
San Pablo,A,9,a,6/21/2023,7/19/2023,Summer ,2023,2.054387952
San Pablo,A,9,b,6/21/2023,7/19/2023,Summer ,2023,1.533134479
San Pablo,B,9,a,6/21/2023,7/19/2023,Summer ,2023,2.004773931
San Pablo,B,9,b,6/21/2023,7/19/2023,Summer ,2023,1.496995872
San Pablo,B,9,c,6/21/2023,7/19/2023,Summer ,2023,0.580667793
San Pablo,A,12,c,6/21/2023,7/19/2023,Summer ,2023,0.933478604
San Pablo,A,12,b,6/21/2023,7/19/2023,Summer ,2023,0.918778154
San Pablo,A,12,a,6/21/2023,7/19/2023,Summer ,2023,0.886314659
San Pablo,B,12,a,6/21/2023,7/19/2023,Summer ,2023,0.5972058
San Pablo,B,12,b,6/21/2023,7/19/2023,Summer ,2023,0.518803397
San Pablo,B,12,c,6/21/2023,7/19/2023,Summer ,2023,0.435500845
San Pablo,A,18,c,6/21/2023,7/19/2023,Summer ,2023,0
San Pablo,A,18,a,6/21/2023,7/19/2023,Summer ,2023,0
San Pablo,A,18,b,6/21/2023,7/19/2023,Summer ,2023,0
San Pablo,B,18,c,6/21/2023,7/19/2023,Summer ,2023,0
San Pablo,B,18,a,6/21/2023,7/19/2023,Summer ,2023,0
San Pablo,B,18,b,6/21/2023,7/19/2023,Summer ,2023,0
San Pablo,A,24,a,6/21/2023,7/19/2023,Summer ,2023,27.41266499
San Pablo,A,24,b,6/21/2023,7/19/2023,Summer ,2023,9.464027502
San Pablo,A,24,c,6/21/2023,7/19/2023,Summer ,2023,1.422881101
San Pablo,B,24,c,6/21/2023,7/19/2023,Summer ,2023,0
San Pablo,B,24,b,6/21/2023,7/19/2023,Summer ,2023,0
San Pablo,B,24,a,6/21/2023,7/19/2023,Summer ,2023,NA
San Pablo,A,48,c,6/21/2023,7/19/2023,Summer ,2023,31.40751241
San Pablo,A,48,a,6/21/2023,7/19/2023,Summer ,2023,28.23160259
San Pablo,A,48,b,6/21/2023,7/19/2023,Summer ,2023,23.50357021
San Pablo,B,48,c,6/21/2023,7/19/2023,Summer ,2023,6.574163949
San Pablo,B,48,b,6/21/2023,7/19/2023,Summer ,2023,5.803002819
San Pablo,B,48,a,6/21/2023,7/19/2023,Summer ,2023,4.682093471
San Pablo,A,72,c,6/21/2023,7/19/2023,Summer ,2023,20.47956505
San Pablo,A,72,a,6/21/2023,7/19/2023,Summer ,2023,19.96076165
San Pablo,A,72,b,6/21/2023,7/19/2023,Summer ,2023,18.09686703
San Pablo,B,72,b,6/21/2023,7/19/2023,Summer ,2023,25.40421595
San Pablo,B,72,a,6/21/2023,7/19/2023,Summer ,2023,24.31148247
San Pablo,B,72,c,6/21/2023,7/19/2023,Summer ,2023,24.22082969
San Pablo,A,150,c,6/21/2023,7/19/2023,Summer ,2023,2.078276184
San Pablo,A,150,a,6/21/2023,7/19/2023,Summer ,2023,1.874307434
San Pablo,A,150,b,6/21/2023,7/19/2023,Summer ,2023,1.369591968
San Pablo,B,150,b,6/21/2023,7/19/2023,Summer ,2023,6.126412729
San Pablo,B,150,c,6/21/2023,7/19/2023,Summer ,2023,6.119062504
San Pablo,B,150,a,6/21/2023,7/19/2023,Summer ,2023,4.45362397
Corte Madera,A,0.5,a,6/20/2023,7/18/2023,Summer ,2023,0
Corte Madera,A,0.5,b,6/20/2023,7/18/2023,Summer ,2023,0
Corte Madera,A,0.5,c,6/20/2023,7/18/2023,Summer ,2023,0
Corte Madera,B,0.5,a,6/20/2023,7/18/2023,Summer ,2023,0
Corte Madera,B,0.5,b,6/20/2023,7/18/2023,Summer ,2023,0
Corte Madera,B,0.5,c,6/20/2023,7/18/2023,Summer ,2023,0
Corte Madera,C,0.5,a,6/20/2023,7/18/2023,Summer ,2023,8.067875521
Corte Madera,C,0.5,c,6/20/2023,7/18/2023,Summer ,2023,3.682920853
Corte Madera,C,0.5,b,6/20/2023,7/18/2023,Summer ,2023,2.17961284
Corte Madera,D,0.5,a,6/20/2023,7/18/2023,Summer ,2023,36.77101201
Corte Madera,D,0.5,b,6/20/2023,7/18/2023,Summer ,2023,23.835457
Corte Madera,D,0.5,c,6/20/2023,7/18/2023,Summer ,2023,13.7258025
Corte Madera,A,2,a,6/20/2023,7/18/2023,Summer ,2023,0
Corte Madera,A,2,b,6/20/2023,7/18/2023,Summer ,2023,0
Corte Madera,A,2,c,6/20/2023,7/18/2023,Summer ,2023,0
Corte Madera,B,2,a,6/20/2023,7/18/2023,Summer ,2023,0
Corte Madera,B,2,b,6/20/2023,7/18/2023,Summer ,2023,0
Corte Madera,B,2,c,6/20/2023,7/18/2023,Summer ,2023,0
Corte Madera,C,2,b,6/20/2023,7/18/2023,Summer ,2023,11.18414604
Corte Madera,C,2,c,6/20/2023,7/18/2023,Summer ,2023,8.595319775
Corte Madera,C,2,a,6/20/2023,7/18/2023,Summer ,2023,4.368414604
Corte Madera,D,2,a,6/20/2023,7/18/2023,Summer ,2023,10.74369027
Corte Madera,D,2,c,6/20/2023,7/18/2023,Summer ,2023,5.696520461
Corte Madera,D,2,b,6/20/2023,7/18/2023,Summer ,2023,4.927101201
Corte Madera,A,6,c,6/20/2023,7/18/2023,Summer ,2023,4.149105611
Corte Madera,A,6,a,6/20/2023,7/18/2023,Summer ,2023,2.997427101
Corte Madera,A,6,b,6/20/2023,7/18/2023,Summer ,2023,1.501470228
Corte Madera,B,6,a,6/20/2023,7/18/2023,Summer ,2023,8.035407988
Corte Madera,B,6,c,6/20/2023,7/18/2023,Summer ,2023,7.529404558
Corte Madera,B,6,b,6/20/2023,7/18/2023,Summer ,2023,3.684758638
Corte Madera,C,6,a,6/20/2023,7/18/2023,Summer ,2023,39.18524871
Corte Madera,C,6,c,6/20/2023,7/18/2023,Summer ,2023,32.54410684
Corte Madera,C,6,b,6/20/2023,7/18/2023,Summer ,2023,25.00980152
Corte Madera,D,6,a,6/20/2023,7/18/2023,Summer ,2023,17.05280568
Corte Madera,D,6,b,6/20/2023,7/18/2023,Summer ,2023,12.2335212
Corte Madera,D,6,c,6/20/2023,7/18/2023,Summer ,2023,7.445479049
Corte Madera,A,12,c,6/20/2023,7/18/2023,Summer ,2023,0
Corte Madera,A,12,b,6/20/2023,7/18/2023,Summer ,2023,11.90149473
Corte Madera,A,12,a,6/20/2023,7/18/2023,Summer ,2023,11.53393776
Corte Madera,B,12,b,6/20/2023,7/18/2023,Summer ,2023,5.916442049
Corte Madera,B,12,c,6/20/2023,7/18/2023,Summer ,2023,5.852732173
Corte Madera,B,12,a,6/20/2023,7/18/2023,Summer ,2023,4.713305562
Corte Madera,C,12,b,6/20/2023,7/18/2023,Summer ,2023,31.2858368
Corte Madera,C,12,c,6/20/2023,7/18/2023,Summer ,2023,31.11247243
Corte Madera,C,12,a,6/20/2023,7/18/2023,Summer ,2023,30.11761823
Corte Madera,D,12,b,6/20/2023,7/18/2023,Summer ,2023,9.992648861
